"zone","state","lga","sector","ea","hhid","topic_cd","sa5aq1","sa5aq2a","sa5aq2b","trackingobs"
2,2,209,2,1040,20006,1,1,1,,0
2,2,209,2,1040,20006,10,1,1,,0
2,2,209,2,1040,20006,11,1,1,,0
2,2,201,2,60,20022,2,1,11,,0
2,2,215,1,8,20089,3,1,11,,0
2,2,215,1,8,20089,6,1,11,,0
4,4,414,1,2176,40034,11,1,11,,0
4,4,405,2,722,40064,3,1,1,,0
4,4,405,2,722,40064,8,1,1,,0
2,5,501,2,60,50071,3,1,1,"",1
2,5,508,2,984,50092,1,1,1,,0
2,5,508,2,984,50092,11,1,1,,0
2,8,811,2,390,80066,1,1,1,,0
2,8,811,2,390,80066,2,1,1,,0
2,8,811,2,390,80066,3,1,1,,0
2,8,811,2,390,80070,1,1,1,,0
2,8,811,2,390,80070,2,1,1,,0
2,8,811,2,390,80070,3,1,1,,0
2,8,811,2,390,80070,8,1,1,,0
2,8,807,2,2396,80123,10,1,2,,0
2,8,807,2,1438,80131,10,1,2,,0
5,9,903,2,48,90020,1,1,11,,0
5,9,903,2,48,90020,6,1,11,,0
4,11,1108,2,492,110059,2,1,14,"HIS VETINARY DOCTOR",0
4,11,1108,2,492,110059,10,1,14,"VINTINARY DOCTOR",0
4,11,1108,2,492,110059,11,1,14,"VETINARY DOCTOR",0
5,12,1216,2,618,120052,6,1,11,,0
5,12,1216,2,618,120058,6,1,1,,0
5,12,1210,2,462,120066,6,1,11,,0
6,13,1314,1,6,130019,8,1,11,"",1
4,14,1401,2,1116,140006,2,1,12,,0
4,14,1401,2,1116,140006,3,1,12,,0
4,14,1401,2,1116,140006,8,1,12,,0
4,14,1401,2,1116,140006,11,1,12,,0
4,14,1401,2,1116,140007,1,1,12,,0
4,14,1401,2,1116,140007,3,1,12,,0
4,14,1401,2,1116,140007,8,1,12,,0
4,14,1401,2,1116,140007,10,1,12,,0
4,14,1401,2,1116,140008,1,1,12,,0
4,14,1401,2,1116,140008,3,1,12,,0
4,14,1401,2,1116,140008,8,1,12,,0
4,14,1401,2,1116,140008,10,1,12,,0
4,14,1401,2,1116,140008,11,1,12,,0
4,14,1407,2,68,140015,1,1,12,,0
4,14,1407,2,68,140015,2,1,12,,0
4,14,1407,2,68,140015,3,1,12,,0
4,14,1407,2,68,140015,9,1,12,,0
4,14,1407,2,68,140016,1,1,12,,0
4,14,1407,2,68,140016,2,1,12,,0
4,14,1407,2,68,140016,3,1,12,,0
4,14,1407,2,68,140016,4,1,12,,0
4,14,1407,2,68,140016,8,1,12,,0
4,14,1408,2,1996,140027,3,1,12,,0
4,14,1408,2,1996,140027,11,1,12,,0
4,14,1408,2,1996,140027,12,1,12,,0
4,14,1408,2,1996,140028,3,1,12,,0
4,14,1413,1,2578,140039,3,1,12,,0
4,14,1413,1,2578,140039,9,1,12,,0
4,14,1413,1,2578,140040,3,1,12,,0
4,14,1413,1,2578,140040,10,1,12,,0
4,14,1415,2,952,140043,10,1,2,,0
4,14,1415,2,952,140043,11,1,2,,0
4,14,1415,2,952,140044,2,1,12,,0
4,14,1415,2,952,140044,3,1,12,,0
4,14,1415,2,952,140044,8,1,12,,0
4,14,1415,2,952,140044,10,1,12,,0
4,14,1415,2,952,140045,3,1,12,,0
4,14,1415,2,952,140045,8,1,12,,0
4,14,1406,2,694,140067,3,1,12,,0
4,14,1406,2,694,140067,8,1,12,,0
4,14,1406,2,694,140068,1,1,12,,0
4,14,1406,2,694,140068,2,1,12,,0
4,14,1406,2,694,140068,3,1,12,,0
4,14,1406,2,694,140068,8,1,12,,0
4,14,1413,2,670,140071,9,1,11,,0
4,14,1413,2,670,140073,2,1,12,,0
4,14,1413,2,670,140073,3,1,12,,0
4,14,1413,2,670,140073,7,1,12,,0
4,14,1413,2,670,140073,10,1,12,,0
4,14,1410,2,236,140087,1,1,12,,0
4,14,1410,2,236,140087,2,1,12,,0
4,14,1410,2,236,140087,3,1,12,,0
4,14,1410,2,236,140087,7,1,12,,0
4,14,1410,2,236,140087,9,1,12,,0
4,14,1410,2,236,140088,1,1,12,,0
4,14,1410,2,236,140088,3,1,12,,0
4,14,1410,2,236,140088,9,1,12,,0
4,14,1408,2,968,140104,3,1,12,,0
4,14,1408,2,968,140104,8,1,12,,0
4,14,1408,2,968,140104,10,1,12,,0
4,14,1408,2,968,140105,3,1,12,,0
4,14,1408,2,968,140105,5,1,12,,0
4,14,1408,2,968,140105,6,1,12,,0
4,14,1408,2,968,140105,8,1,12,,0
4,14,1408,2,968,140105,10,1,12,,0
4,14,1408,2,968,140105,11,1,12,,0
4,14,1408,2,968,140106,3,1,12,,0
4,14,1408,2,968,140106,8,1,12,,0
4,14,1411,2,1066,140117,1,1,12,,0
4,14,1411,2,1066,140117,2,1,12,,0
4,14,1411,2,1066,140117,8,1,12,,0
4,14,1411,2,1066,140117,10,1,12,,0
4,14,1411,2,1066,140118,1,1,12,,0
4,14,1411,2,1066,140118,3,1,12,,0
4,14,1416,2,2314,140121,1,1,12,,0
4,14,1416,2,2314,140121,3,1,12,,0
4,14,1416,2,2314,140121,8,1,12,,0
4,14,1416,2,2314,140122,1,1,12,,0
4,14,1416,2,2314,140122,2,1,12,,0
4,14,1416,2,2314,140122,3,1,12,,0
4,14,1416,2,2314,140122,8,1,12,,0
4,14,1416,2,2314,140122,10,1,12,,0
4,14,1416,2,2314,140122,11,1,12,,0
4,14,1416,2,2314,140123,1,1,12,,0
4,14,1416,2,2314,140123,2,1,12,,0
4,14,1416,2,2314,140123,3,1,12,,0
4,14,1416,2,2314,140123,8,1,12,,0
2,15,1506,1,398,150002,11,1,2,,0
2,15,1506,1,398,150003,2,1,1,,0
2,15,1508,2,1682,150019,1,1,5,,0
2,15,1508,2,1682,150019,2,1,5,,0
2,15,1508,2,1682,150019,3,1,5,,0
2,15,1508,2,1682,150019,9,1,5,,0
2,15,1507,2,458,150052,3,1,1,,0
2,15,1507,2,458,150052,5,1,1,,0
2,15,1507,2,458,150052,10,1,5,,0
2,15,1503,2,634,150069,2,1,1,,0
2,15,1503,2,634,150069,3,1,1,,0
2,15,1506,1,148,150077,1,1,2,,0
2,15,1506,1,148,150077,2,1,2,,0
2,15,1506,1,148,150077,3,1,2,,0
2,15,1506,1,148,150077,10,1,2,,0
2,15,1506,1,148,150077,11,1,2,,0
4,16,1616,2,296,160061,11,1,1,,0
4,16,1616,2,296,160067,1,1,1,,0
4,16,1616,2,296,160067,2,1,1,,0
4,16,1616,2,296,160067,3,1,1,,0
4,16,1601,2,954,160092,10,1,8,,0
4,16,1601,2,954,160092,11,1,1,,0
3,17,1719,2,1354,170016,3,1,8,,0
3,17,1719,2,1354,170017,3,1,8,,0
3,17,1719,2,1354,170018,3,1,8,,0
3,17,1722,2,96,170048,3,1,8,,0
3,17,1722,2,96,170048,11,1,8,,0
3,17,1722,2,96,170049,3,1,1,,0
3,17,1715,2,2244,170052,3,1,8,,0
3,17,1715,2,2244,170053,3,1,8,,0
3,17,1715,2,2244,170056,3,1,8,,0
3,17,1715,2,2244,170059,11,1,2,,0
3,17,1710,2,546,170063,3,1,8,,0
3,17,1710,2,546,170064,3,1,8,,0
3,17,1710,2,546,170067,3,1,8,,0
3,17,1713,1,226,170076,3,1,8,,0
3,17,1713,1,226,170077,3,1,8,,0
3,17,1716,2,1452,170082,3,1,8,,0
3,17,1716,2,1452,170089,3,1,8,,0
3,17,1716,2,1452,170090,11,1,2,,0
3,17,1702,2,510,170096,3,1,8,,0
3,17,1702,2,510,170097,3,1,8,,0
3,17,1702,2,510,170099,3,1,8,,0
3,17,1712,2,794,170117,11,1,1,,0
3,18,1823,1,1822,180027,1,1,10,,0
3,18,1823,1,1822,180027,3,1,10,,0
3,18,1816,1,378,180047,2,1,11,,0
3,18,1816,1,378,180047,4,1,12,,0
3,18,1805,2,534,180052,3,1,11,,0
3,18,1805,2,534,180052,10,1,11,,0
3,18,1805,2,534,180056,2,1,11,,0
3,18,1805,2,534,180056,3,1,11,,0
3,18,1805,2,534,180059,10,1,11,,0
3,18,1805,2,534,180059,11,1,11,,0
3,18,1817,2,370,180062,2,1,11,,0
3,18,1817,2,370,180062,3,1,11,,0
3,18,1817,2,370,180062,4,1,12,,0
3,18,1817,2,370,180065,1,1,11,,0
3,18,1808,2,1726,180076,2,1,12,,0
3,18,1808,2,1726,180076,5,1,10,,0
3,18,1808,2,1726,180076,6,1,11,,0
3,18,1822,2,1654,180106,1,1,11,,0
3,18,1822,2,1654,180106,2,1,11,,0
3,18,1822,2,1654,180106,3,1,11,,0
3,18,1822,2,1654,180106,4,1,11,,0
3,18,1822,2,1654,180106,5,1,11,,0
3,18,1822,2,1654,180106,6,1,11,,0
3,18,1822,2,1654,180106,9,1,11,,0
3,18,1822,2,1654,180109,1,1,10,,0
3,18,1822,2,1654,180109,2,1,12,,0
3,18,1822,2,1654,180109,3,1,11,,0
3,18,1822,2,1654,180109,4,1,11,,0
3,18,1822,2,1654,180109,5,1,12,,0
3,18,1822,2,1654,180109,6,1,11,,0
3,18,1822,2,1654,180109,8,1,12,,0
3,18,1814,2,678,180111,11,1,11,,0
3,18,1814,2,678,180112,2,1,12,,0
3,18,1814,2,678,180112,4,1,12,,0
3,18,1814,2,678,180112,5,1,12,,0
3,18,1814,2,678,180112,6,1,12,,0
3,18,1814,2,678,180112,8,1,12,,0
3,18,1814,2,678,180112,9,1,12,,0
3,18,1814,2,678,180112,10,1,12,,0
3,18,1814,2,678,180112,11,1,12,,0
3,18,1814,2,678,180113,4,1,12,,0
3,18,1814,2,678,180113,10,1,12,,0
3,18,1814,2,678,180117,1,1,12,,0
3,18,1814,2,678,180117,2,1,12,,0
3,18,1814,2,678,180117,3,1,12,,0
3,18,1814,2,678,180117,4,1,12,,0
3,18,1814,2,678,180117,8,1,12,,0
3,18,1814,2,678,180117,10,1,12,,0
3,18,1814,2,678,180117,11,1,12,,0
3,18,1814,2,678,180118,10,1,11,"",1
3,18,1814,2,678,180118,11,1,11,"",1
3,18,1814,2,678,180119,10,1,11,"",1
3,18,1814,2,678,180119,11,1,11,"",1
3,18,1814,2,678,180120,10,1,11,"",1
3,18,1814,2,678,180120,11,1,11,"",1
3,19,1902,2,52,190076,5,1,2,,0
3,19,1902,2,52,190076,6,1,2,,0
3,19,1941,2,518,190098,5,1,14,,0
3,19,1941,2,518,190099,3,1,2,,0
3,19,1941,2,518,190099,5,1,11,,0
3,19,1941,2,518,190099,6,1,11,,0
3,20,2018,2,1134,200016,3,1,12,,0
3,20,2018,2,1134,200017,1,1,12,,0
3,20,2018,2,1134,200017,3,1,12,,0
3,20,2018,2,1134,200018,1,1,12,,0
3,20,2005,2,970,200022,10,1,11,,0
3,20,2005,2,970,200028,1,1,5,,0
3,20,2005,2,970,200029,1,1,12,,0
3,20,2005,2,970,200030,2,1,12,,0
3,20,2003,2,784,200037,10,1,11,,0
3,20,2003,2,784,200038,3,1,12,,0
3,20,2003,2,784,200039,1,1,12,,0
3,20,2003,2,784,200040,1,1,12,,0
3,20,2030,2,1050,200043,10,1,11,,0
3,20,2030,2,1050,200049,1,1,12,,0
3,20,2032,1,1390,200051,3,1,12,,0
3,20,2032,1,1390,200052,1,1,12,,0
3,20,2032,1,1390,200053,1,1,12,,0
3,20,2015,2,1746,200071,10,1,11,,0
3,20,2015,2,1746,200072,6,1,11,,0
3,21,2106,2,2822,210002,11,1,11,,0
3,21,2106,2,236,210011,10,1,1,,0
3,21,2106,2,236,210011,11,1,1,,0
3,21,2106,2,236,210013,1,1,1,,0
3,21,2106,2,236,210013,3,1,1,,0
3,21,2106,2,236,210013,4,1,,,0
3,21,2106,2,236,210016,1,1,11,,0
3,21,2106,2,236,210018,1,1,1,,0
3,21,2106,2,236,210018,2,1,1,,0
3,21,2106,2,236,210018,3,1,1,,0
3,21,2109,2,38,210021,11,1,1,,0
3,21,2109,2,38,210024,2,1,11,,0
3,21,2109,2,38,210029,1,1,11,,0
3,21,2109,2,38,210029,3,1,11,,0
3,21,2119,2,3956,210032,11,1,2,,0
3,21,2119,2,3956,210033,11,1,2,,0
3,21,2119,2,3956,210037,3,1,11,,0
3,21,2119,2,2146,210041,3,1,11,,0
3,21,2119,2,2146,210043,2,1,11,,0
3,21,2119,2,2146,210046,2,1,1,,0
3,21,2119,2,2146,210046,3,1,1,,0
3,21,2119,2,2146,210048,3,1,1,,0
3,21,2119,2,2146,210048,11,1,1,,0
3,21,2119,2,2146,210049,3,1,11,,0
3,21,2115,2,926,210053,1,1,11,,0
3,21,2115,2,926,210053,3,1,11,,0
3,21,2115,2,926,210054,11,1,2,,0
3,21,2115,2,926,210057,3,1,11,,0
3,21,2115,2,926,210060,3,1,11,,0
3,21,2117,2,554,210062,3,1,11,,0
3,21,2117,2,554,210062,5,1,11,,0
3,21,2117,2,554,210064,1,1,11,,0
3,21,2117,2,554,210064,2,1,11,,0
3,21,2117,2,554,210064,3,1,11,,0
3,21,2117,2,554,210066,13,1,11,,0
3,21,2117,2,554,210070,2,1,1,,0
3,21,2108,1,520,210076,1,1,11,,0
3,21,2108,1,520,210076,3,1,11,,0
3,21,2102,2,1124,210082,1,1,11,,0
3,21,2102,2,1124,210082,3,1,11,,0
3,21,2102,2,1124,210087,3,1,11,,0
3,21,2102,2,1124,210088,3,1,11,,0
3,21,2102,2,1124,210090,3,1,11,,0
3,21,2111,2,180,210093,1,1,11,,0
3,21,2111,2,180,210093,3,1,11,,0
3,21,2111,2,180,210094,1,1,11,,0
3,21,2111,2,180,210098,1,1,11,,0
3,21,2111,2,180,210098,2,1,11,,0
3,21,2111,2,180,210098,3,1,11,,0
3,21,2111,2,180,210098,10,1,11,,0
3,21,2111,2,180,210098,11,1,11,,0
1,23,2308,1,5180,230003,10,1,12,,0
1,23,2308,1,5180,230003,11,1,12,,0
1,23,2308,1,5180,230008,1,1,12,,0
1,23,2308,1,5180,230008,2,1,12,,0
1,23,2308,1,5180,230008,3,1,12,,0
1,23,2307,1,78,230024,1,1,12,,0
1,23,2307,1,78,230024,3,1,12,,0
1,23,2307,1,78,230024,6,1,12,,0
1,23,2307,1,78,230024,8,1,12,,0
1,23,2307,1,78,230024,10,1,12,,0
1,23,2307,1,78,230024,11,1,12,,0
1,23,2304,2,322,230071,1,1,12,,0
1,23,2304,2,322,230071,2,1,12,,0
1,23,2304,2,322,230071,3,1,12,,0
1,23,2304,2,322,230071,4,1,12,,0
1,23,2304,2,322,230071,6,1,12,,0
1,23,2304,2,322,230071,8,1,12,,0
1,23,2304,2,322,230071,10,1,12,,0
1,23,2304,2,322,230071,11,1,12,,0
1,23,2311,2,516,230089,1,1,12,,0
1,23,2311,2,516,230089,2,1,12,,0
1,23,2311,2,516,230089,3,1,12,,0
1,23,2316,1,140,230102,1,1,12,,0
1,23,2316,1,140,230102,2,1,12,,0
1,23,2316,1,140,230102,3,1,12,,0
1,23,2316,1,140,230102,6,1,12,,0
1,23,2316,1,140,230106,1,1,12,,0
1,23,2316,1,140,230106,2,1,12,,0
1,23,2316,1,140,230106,3,1,12,,0
1,23,2316,1,140,230106,4,1,12,,0
1,23,2316,1,140,230106,6,1,12,,0
1,23,2316,1,140,230110,1,1,12,,0
1,23,2316,1,140,230110,2,1,12,,0
1,23,2316,1,140,230110,3,1,12,,0
1,23,2316,1,140,230110,4,1,12,,0
1,23,2316,1,140,230110,6,1,12,,0
1,23,2303,2,2348,230112,1,1,12,,0
1,23,2303,2,2348,230112,2,1,12,,0
1,23,2303,2,2348,230112,3,1,12,,0
1,23,2303,2,2348,230112,4,1,12,,0
1,23,2303,2,2348,230112,6,1,12,,0
1,23,2303,2,2348,230116,1,1,12,,0
1,23,2303,2,2348,230116,2,1,12,,0
1,23,2303,2,2348,230116,3,1,12,,0
1,23,2303,2,2348,230116,4,1,12,,0
1,23,2303,2,2348,230116,6,1,12,,0
1,23,2303,2,2348,230120,1,1,12,,0
1,23,2303,2,2348,230120,2,1,12,,0
1,23,2303,2,2348,230120,3,1,12,,0
1,23,2303,2,2348,230120,4,1,12,,0
1,23,2303,2,2348,230120,6,1,12,,0
1,23,2303,2,2348,230120,8,1,12,,0
6,24,2403,1,674,240036,7,1,14,"NO ADVISE",1
1,26,2615,2,2178,260070,1,1,12,,0
1,26,2605,2,594,260091,3,1,2,,0
1,26,2605,2,594,260092,1,1,12,,0
1,26,2605,2,594,260092,3,1,2,,0
1,26,2605,2,594,260092,6,1,12,,0
1,26,2605,2,594,260092,8,1,2,,0
1,26,2605,2,594,260092,9,1,2,,0
1,26,2605,2,594,260092,10,1,2,,0
1,26,2605,2,594,260092,11,1,2,,0
1,26,2605,2,594,260095,11,1,14,,0
1,26,2605,2,594,260096,1,1,1,,0
1,26,2605,2,594,260096,2,1,1,,0
1,26,2605,2,594,260096,3,1,1,,0
1,26,2605,2,594,260096,5,1,1,,0
1,26,2605,2,594,260096,6,1,1,,0
1,26,2605,2,594,260096,7,1,1,,0
1,26,2605,2,594,260096,8,1,1,,0
1,26,2605,2,594,260099,2,1,1,,0
1,26,2603,1,1786,260107,2,1,2,,0
1,26,2603,1,1786,260107,5,1,2,,0
1,26,2603,1,1786,260107,6,1,2,,0
1,26,2613,2,2248,260121,3,1,8,,0
1,26,2613,2,2248,260123,3,1,8,,0
1,26,2613,2,2248,260124,1,1,1,,0
1,26,2613,2,2248,260124,3,1,1,,0
1,26,2613,2,2248,260126,1,1,1,,0
1,26,2613,2,2248,260126,2,1,1,,0
1,26,2613,2,2248,260126,3,1,1,,0
1,26,2613,2,2248,260127,1,1,1,,0
1,26,2613,2,2248,260127,2,1,1,,0
1,26,2613,2,2248,260127,3,1,1,,0
1,26,2613,2,2248,260128,1,1,1,,0
1,26,2613,2,2248,260128,2,1,1,,0
1,26,2613,2,2248,260128,3,1,1,,0
1,26,2613,2,2248,260129,2,1,1,,0
1,26,2613,2,2248,260129,3,1,1,,0
1,26,2613,2,2248,260130,3,1,1,,0
