"zone","state","lga","sector","ea","hhid","item_cd","s11dq7","s11dq8"
4,1,115,1,670,10006,507,1,5000
4,1,115,1,670,10006,515,1,150000
4,1,115,1,670,10006,516,1,50000
4,1,115,1,670,10009,507,1,350
4,1,115,1,670,10010,507,1,250
4,1,104,2,1364,10012,517,1,150000
4,1,104,2,1364,10016,507,1,400
4,1,104,2,1364,10016,509,1,1000
4,1,106,2,880,10029,508,1,44000
4,1,106,2,880,10029,509,1,2500
4,1,106,2,880,10030,509,1,1500
4,1,111,1,1146,10034,517,1,25000
4,1,111,1,1146,10036,516,1,100000
4,1,102,1,536,10041,517,1,8000
4,1,102,1,536,10045,505,1,12500
4,1,102,1,536,10047,507,1,300
4,1,102,1,1690,10055,507,1,200
4,1,102,1,1690,10056,509,1,2600
4,1,102,1,1690,10057,508,1,4650
4,1,117,2,560,10074,517,1,22000
4,1,105,2,638,10092,505,1,12000
4,1,105,2,638,10096,507,1,200
4,1,108,2,904,10109,509,1,1500
2,2,209,2,1040,20001,503,1,1800
2,2,209,2,1040,20006,503,1,900
2,2,201,2,60,20022,503,1,800
2,2,201,2,60,20022,505,1,12000
2,2,201,2,60,20027,504,1,650
2,2,216,2,200,20033,516,1,20000
2,2,216,2,200,20034,503,1,800
2,2,216,2,200,20040,503,1,400
2,2,214,2,898,20074,502,1,800
2,2,214,2,898,20078,503,1,1600
2,2,214,2,898,20078,508,1,5000
2,2,215,1,8,20090,503,1,800
2,2,207,2,1302,20091,515,1,30000
2,2,207,2,1302,20091,516,1,145000
2,2,205,2,712,20102,503,1,2900
2,2,205,2,712,20107,502,1,800
2,2,205,2,712,20108,503,1,1200
5,3,331,1,2322,30002,517,1,2000
5,3,331,1,2322,30006,502,1,1500
5,3,331,1,2322,30006,506,1,2000
5,3,331,1,2322,30006,509,1,500
5,3,331,1,516,30019,503,1,300
5,3,316,2,874,30022,502,1,500
5,3,316,2,874,30023,509,1,600
5,3,316,2,874,30024,501,1,3000
5,3,316,2,874,30024,508,1,3500
5,3,316,2,874,30028,516,1,1000
5,3,309,2,478,30032,503,1,350
5,3,309,2,478,30033,503,1,700
5,3,307,1,634,30041,509,1,1000
5,3,307,1,634,30043,507,1,1400
5,3,307,1,634,30048,501,1,800
5,3,321,2,364,30051,501,1,23000
5,3,321,2,364,30054,503,1,1200
5,3,329,2,696,30062,501,1,1800
5,3,329,2,696,30070,503,1,350
5,3,323,2,580,30075,503,1,400
5,3,323,2,580,30076,503,1,1500
5,3,318,2,1136,30084,503,1,800
5,3,318,2,1136,30085,501,1,5000
5,3,318,2,1136,30085,502,1,1500
5,3,318,2,1136,30087,503,1,800
5,3,313,2,70,30091,503,1,700
5,3,313,2,70,30094,504,1,20
5,3,313,2,70,30095,503,1,400
5,3,313,2,70,30096,517,1,250000
5,3,313,2,70,30097,517,1,500
5,3,313,2,70,30099,503,1,350
5,3,313,2,70,30100,502,1,350
5,3,301,1,1198,30101,502,1,300
5,3,301,1,1198,30105,503,1,400
5,3,301,1,1198,30108,502,1,350
5,3,301,1,1198,30110,503,1,300
5,3,326,2,74,30111,502,1,500
5,3,326,2,74,30111,503,1,2300
5,3,326,2,74,30111,517,1,300000
5,3,326,2,74,30113,503,1,800
5,3,326,2,74,30114,503,1,400
5,3,326,2,74,30118,508,1,20000
5,3,326,2,74,30118,516,1,5000
5,3,305,2,1542,30122,503,1,2400
5,3,305,2,1542,30123,501,1,3000
5,3,305,2,1542,30123,503,1,300
5,3,312,2,20,30133,503,1,300
5,3,312,2,20,30133,507,1,1200
5,3,312,2,20,30134,503,1,300
5,3,312,2,20,30140,508,1,6000
5,3,305,2,4,30142,503,1,350
5,3,305,2,4,30144,515,1,100000
5,3,305,2,4,30148,503,1,350
5,3,305,2,4,30149,503,1,300
4,4,418,1,44,40003,516,1,5000
4,4,418,1,44,40003,517,1,4000
4,4,418,1,44,40004,502,1,450
4,4,418,1,44,40005,516,1,2300
4,4,418,1,44,40005,517,1,2500
4,4,418,1,44,40006,516,1,5000
4,4,418,1,44,40006,517,1,3000
4,4,418,1,44,40007,502,1,450
4,4,418,1,44,40008,501,1,750
4,4,418,1,44,40008,502,1,450
4,4,417,1,678,40013,516,1,2000
4,4,417,1,678,40013,517,1,3000
4,4,417,1,678,40014,516,1,2800
4,4,417,1,678,40014,517,1,3000
4,4,417,1,678,40015,502,1,400
4,4,417,1,678,40016,509,1,2000
4,4,417,1,678,40017,501,1,1000
4,4,417,1,678,40017,502,1,450
4,4,416,1,616,40021,516,1,2000
4,4,416,1,616,40021,517,1,3000
4,4,416,1,616,40022,516,1,1000
4,4,416,1,616,40022,517,1,1200
4,4,416,1,616,40023,516,1,3000
4,4,416,1,616,40023,517,1,5000
4,4,416,1,616,40024,509,1,2000
4,4,416,1,616,40025,502,1,250
4,4,416,1,616,40030,503,1,650
4,4,414,1,2176,40031,516,1,2000
4,4,414,1,2176,40031,517,1,2500
4,4,414,1,2176,40033,516,1,2500
4,4,414,1,2176,40033,517,1,3000
4,4,414,1,2176,40034,516,1,1500
4,4,414,1,2176,40034,517,1,5000
4,4,415,1,2108,40041,516,1,1200
4,4,415,1,2108,40041,517,1,1500
4,4,415,1,2108,40042,517,1,1000
4,4,415,1,2108,40043,516,1,2000
4,4,415,1,2108,40043,517,1,1500
4,4,415,1,2108,40044,516,1,500
4,4,415,1,2108,40044,517,1,1000
4,4,415,1,2108,40045,516,1,500
4,4,415,1,2108,40045,517,1,500
4,4,415,1,2108,40046,516,1,200
4,4,415,1,2108,40046,517,1,300
4,4,413,2,1540,40057,502,1,500
4,4,413,2,1540,40057,505,1,6000
4,4,413,2,1540,40058,502,1,1200
4,4,413,2,1540,40059,517,1,500
4,4,413,2,1540,40060,502,1,3800
4,4,413,2,1540,40060,509,1,2500
4,4,405,2,722,40062,502,1,400
4,4,405,2,722,40067,502,1,400
4,4,405,2,722,40068,516,1,200
4,4,405,2,722,40068,517,1,200
4,4,405,2,484,40072,516,1,3000
4,4,405,2,484,40072,517,1,3000
4,4,405,2,484,40076,502,1,1400
4,4,405,2,484,40077,501,1,600
4,4,405,2,484,40077,502,1,500
4,4,405,2,484,40078,502,1,1700
4,4,405,2,484,40079,517,1,1400
4,4,419,2,296,40085,502,1,670
4,4,419,2,296,40085,517,1,500000
4,4,419,2,296,40086,502,1,700
4,4,419,2,296,40089,517,1,4000
4,4,419,2,296,40090,517,1,1500
4,4,401,1,1460,40091,502,1,900
4,4,401,1,1460,40096,517,1,4000
4,4,401,1,1460,40097,517,1,5000
4,4,401,1,1460,40099,502,1,300
4,4,401,1,1460,40100,502,1,400
4,4,412,2,2592,40107,516,1,2000
4,4,412,2,2592,40107,517,1,1000
4,4,412,2,2592,40108,516,1,1500
4,4,412,2,2592,40108,517,1,1800
4,4,412,2,2592,40109,509,1,1500
4,4,412,2,2592,40109,516,1,2500
4,4,412,2,2592,40109,517,1,4000
4,4,412,2,2592,40110,516,1,1500
4,4,412,2,2592,40110,517,1,1500
4,4,412,2,1606,40115,516,1,2000
4,4,412,2,1606,40115,517,1,2000
4,4,412,2,1606,40116,516,1,1500
4,4,412,2,1606,40116,517,1,1700
4,4,412,2,1606,40117,516,1,1000
4,4,412,2,1606,40117,517,1,1200
4,4,412,2,1606,40118,516,1,1000
4,4,412,2,1606,40118,517,1,600
4,4,412,2,1606,40120,516,1,2000
4,4,412,2,1606,40120,517,1,6000
4,4,410,2,4036,40122,501,1,2500
4,4,410,2,4036,40122,502,1,3100
4,4,410,2,4036,40122,507,1,1200
4,4,410,2,4036,40122,516,1,1000
4,4,410,2,4036,40122,517,1,500
4,4,410,2,4036,40123,516,1,2000
4,4,410,2,4036,40123,517,1,1500
4,4,410,2,4036,40124,516,1,5000
4,4,410,2,4036,40124,517,1,5000
4,4,410,2,4036,40127,501,1,2500
4,4,410,2,4036,40127,507,1,600
4,4,410,2,4036,40127,516,1,2000
4,4,410,2,4036,40127,517,1,1500
4,4,407,2,796,40131,516,1,300
4,4,407,2,796,40131,517,1,200
4,4,407,2,796,40134,502,1,1400
4,4,407,2,796,40135,502,1,1600
4,4,407,2,796,40135,505,1,3000
4,4,407,2,796,40136,502,1,600
4,4,410,1,3192,40144,502,1,1400
4,4,410,1,3192,40145,502,1,400
4,4,410,1,3192,40146,502,1,1800
4,4,410,1,3192,40150,517,1,500
4,4,410,1,3414,40153,516,1,1000
4,4,410,1,3414,40153,517,1,5000
4,4,410,1,3414,40155,502,1,2400
4,4,410,1,3414,40155,508,1,60000
4,4,410,1,3414,40156,517,1,1300
4,4,410,1,3414,40157,502,1,1200
4,4,401,1,738,40163,516,1,20000
4,4,401,1,738,40166,502,1,800
4,4,401,1,738,40167,502,1,900
4,4,401,1,738,40168,517,1,800
4,4,401,1,738,40169,516,1,2300
4,4,421,1,800,40171,502,1,1200
4,4,421,1,800,40172,502,1,600
4,4,411,1,1486,40181,516,1,3000
4,4,411,1,1486,40181,517,1,2000
4,4,411,1,1486,40182,516,1,1000
4,4,411,1,1486,40182,517,1,1500
4,4,411,1,1486,40184,516,1,1500
4,4,411,1,1486,40184,517,1,200
4,4,411,1,1486,40185,516,1,1800
4,4,411,1,1486,40185,517,1,1600
4,4,411,1,1486,40186,516,1,2000
4,4,411,1,1486,40186,517,1,1000
4,4,401,2,2106,40191,502,1,1400
4,4,401,2,2106,40193,517,1,2500
4,4,401,2,2106,40195,517,1,4500
4,4,401,2,2106,40197,502,1,1200
4,4,401,2,2106,40200,517,1,60000
4,4,402,2,1080,40207,502,1,250
4,4,402,2,1080,40207,516,1,600
4,4,402,2,1080,40207,517,1,600
4,4,402,2,1080,40208,516,1,1000
4,4,402,2,1080,40208,517,1,1000
4,4,403,2,836,40212,517,1,50000
4,4,403,2,836,40214,516,1,200
4,4,403,2,836,40216,516,1,2000
4,4,403,2,836,40216,517,1,1500
4,4,403,2,836,40218,516,1,2500
4,4,403,2,836,40218,517,1,2000
4,4,403,2,836,40219,516,1,3000
4,4,403,2,836,40219,517,1,2500
4,4,403,2,836,40220,516,1,2000
4,4,403,2,836,40220,517,1,1000
2,5,506,2,830,50001,503,1,550
2,5,506,2,830,50002,516,1,500
2,5,506,2,830,50002,517,1,500
2,5,506,2,830,50004,516,1,2000
2,5,506,2,830,50004,517,1,500
2,5,502,1,2194,50013,511,1,1800
2,5,502,1,2194,50015,510,1,600
2,5,502,1,2194,50016,515,1,5000
2,5,502,1,2194,50018,503,1,600
2,5,502,1,2194,50020,501,1,15000
2,5,515,2,18,50023,515,1,2000
2,5,515,2,18,50023,516,1,650
2,5,515,2,18,50027,516,1,4200
2,5,515,2,18,50027,517,1,1500
2,5,502,2,3878,50037,508,1,6500
2,5,504,2,708,50043,516,1,2000
2,5,504,2,708,50043,517,1,500
2,5,504,2,708,50044,515,1,20000
2,5,504,2,708,50044,516,1,30000
2,5,504,2,708,50044,517,1,1500
2,5,513,2,348,50052,503,1,500
2,5,513,2,348,50055,503,1,550
2,5,513,2,348,50058,503,1,1000
2,5,514,2,710,50062,516,1,2600
2,5,514,2,710,50062,517,1,1000
2,5,514,2,710,50065,516,1,1200
2,5,514,2,710,50065,517,1,1400
2,5,514,2,710,50070,516,1,4500
2,5,514,2,710,50070,517,1,2000
2,5,501,2,60,50073,503,1,2500
2,5,501,2,60,50080,501,1,2000
2,5,501,2,60,50080,505,1,18000
2,5,516,2,942,50083,516,1,4000
2,5,516,2,942,50083,517,1,1250
2,5,516,2,942,50089,516,1,2002
2,5,508,2,984,50092,505,1,16000
2,5,508,2,984,50092,516,1,100000
2,5,508,2,984,50096,503,1,400
2,5,508,2,984,50097,516,1,50000
2,5,514,1,2036,50101,516,1,6000
2,5,514,1,2036,50101,517,1,2000
2,5,514,1,2036,50107,516,1,3000
2,5,514,1,2036,50107,517,1,1600
2,5,514,1,2036,50108,516,1,5000
2,5,508,2,718,50113,515,1,10000
2,5,508,2,718,50113,516,1,15000
2,5,508,2,718,50118,515,1,10000
2,5,508,2,718,50118,516,1,50000
2,5,508,2,718,50119,505,1,40000
2,5,508,2,718,50119,516,1,15000
2,5,508,2,718,50120,505,1,9000
2,5,510,1,872,50121,516,1,6500
2,5,510,1,872,50121,517,1,1500
2,5,510,1,872,50122,511,1,5000
2,5,510,1,872,50127,516,1,15000
2,5,510,1,872,50127,517,1,5000
2,5,510,1,872,50128,516,1,36000
2,5,510,1,872,50128,517,1,4000
2,5,510,1,872,50130,516,1,5000
2,5,510,1,872,50130,517,1,3000
2,5,518,2,1588,50132,503,1,500
2,5,510,2,1516,50142,516,1,5000
2,5,510,2,1516,50142,517,1,2000
2,5,510,2,1516,50146,516,1,500
2,5,510,2,1516,50149,516,1,2500
2,5,510,2,1516,50149,517,1,500
2,5,518,2,1304,50152,503,1,500
2,5,518,2,1304,50154,508,1,4000
2,5,518,2,1304,50154,515,1,25000
2,5,518,2,1304,50154,516,1,10000
2,5,518,2,1304,50159,503,1,2000
2,5,520,2,1756,50163,516,1,700
2,5,520,2,1756,50163,517,1,500
2,5,520,2,1756,50165,516,1,6000
2,5,520,2,1756,50165,517,1,1800
2,5,520,2,1756,50167,516,1,2500
2,5,520,2,1756,50167,517,1,1200
5,6,602,2,1356,60001,502,1,300
5,6,602,2,1356,60006,508,1,10000
5,6,606,2,1372,60014,502,1,500
5,6,608,1,3978,60022,516,1,5000
5,6,608,1,3978,60023,502,1,500
5,6,608,1,3978,60027,502,1,1500
5,6,608,1,3978,60030,501,1,1200
5,6,608,1,3978,60030,502,1,1500
5,6,608,1,3978,60030,507,1,18000
5,6,608,1,3978,60030,515,1,120000
5,6,608,1,3978,60030,516,1,300000
5,6,607,2,1892,60031,503,1,500
5,6,607,2,1892,60037,508,1,58500
5,6,601,2,640,60041,502,1,250
5,6,601,2,640,60042,503,1,300
5,6,601,2,640,60044,503,1,450
5,6,605,2,162,60052,501,1,2000
5,6,605,2,162,60055,508,1,5000
5,6,605,2,162,60055,517,1,25000
5,6,605,2,162,60058,501,1,4000
5,6,605,2,162,60058,502,1,1500
5,6,608,2,748,60061,517,1,60000
5,6,608,2,748,60064,502,1,400
5,6,608,2,748,60064,507,1,300
1,7,708,2,754,70012,517,1,1600
1,7,722,2,234,70031,503,1,1200
1,7,722,2,234,70031,505,1,6000
1,7,722,2,234,70032,517,1,2600
1,7,722,2,234,70036,508,1,20000
1,7,722,2,234,70039,505,1,16500
1,7,711,2,2532,70067,503,1,2000
1,7,709,2,1226,70077,517,1,5500
1,7,709,2,1226,70079,516,1,700
1,7,709,2,1226,70079,517,1,12000
1,7,709,2,1226,70080,503,1,1000
1,7,719,1,1612,70082,516,1,4500
1,7,719,1,1612,70082,517,1,600
1,7,719,1,1612,70083,516,1,1200
1,7,719,1,1612,70083,517,1,700
1,7,719,1,1612,70084,516,1,500
1,7,719,1,1612,70084,517,1,900
1,7,719,1,1612,70085,517,1,5000
1,7,719,1,1612,70087,517,1,400
1,7,719,1,1612,70088,517,1,300
1,7,719,1,1612,70089,516,1,2500
1,7,719,1,1612,70089,517,1,700
1,7,719,1,1612,70090,516,1,3500
1,7,719,1,1612,70090,517,1,5000
1,7,717,2,1248,70093,516,1,450
1,7,717,2,1248,70093,517,1,370
1,7,717,2,1248,70096,505,1,6800
1,7,717,2,1248,70098,505,1,10500
1,7,717,2,1248,70100,517,1,400
1,7,701,2,606,70102,503,1,700
1,7,701,2,606,70102,509,1,350
1,7,701,2,606,70103,517,1,500
1,7,701,2,606,70105,517,1,400
1,7,701,2,606,70108,517,1,500
1,7,701,2,606,70109,517,1,200
1,7,702,2,632,70111,517,1,3000
1,7,702,2,632,70112,516,1,1800
1,7,702,2,632,70112,517,1,3600
1,7,702,2,632,70113,505,1,21300
1,7,702,2,632,70113,517,1,7200
1,7,702,2,632,70114,516,1,5500
1,7,702,2,632,70114,517,1,3400
1,7,702,2,632,70115,517,1,2000
1,7,702,2,632,70116,517,1,400
1,7,718,2,1640,70121,516,1,700
1,7,718,2,1640,70121,517,1,1200
1,7,718,2,1640,70122,516,1,400
1,7,718,2,1640,70123,517,1,150
1,7,718,2,1640,70124,516,1,1600
1,7,718,2,1640,70124,517,1,900
1,7,718,2,1640,70125,517,1,300
1,7,718,2,1640,70126,516,1,1500
1,7,718,2,1640,70127,516,1,3700
1,7,718,2,1640,70127,517,1,900
1,7,718,2,1640,70128,516,1,100
1,7,718,2,1640,70130,517,1,300
1,7,715,2,780,70131,517,1,700
1,7,715,2,780,70133,517,1,6000
1,7,715,2,780,70134,517,1,1200
1,7,715,2,780,70136,516,1,1000
1,7,715,2,780,70136,517,1,700
1,7,715,2,780,70137,517,1,5000
1,7,715,2,780,70139,516,1,3000
1,7,715,2,780,70139,517,1,1500
1,7,715,2,780,70140,516,1,2000
1,7,715,2,780,70140,517,1,3000
1,7,715,1,294,70141,517,1,500
1,7,715,1,294,70143,516,1,900
1,7,715,1,294,70143,517,1,1600
1,7,715,1,294,70144,517,1,400
1,7,715,1,294,70146,516,1,1450
1,7,715,1,294,70150,516,1,1100
1,7,715,1,294,70150,517,1,600
1,7,713,2,304,70152,517,1,250
1,7,713,2,304,70153,516,1,2700
1,7,713,2,304,70153,517,1,900
1,7,713,2,304,70157,517,1,200
1,7,713,2,304,70158,517,1,1700
2,8,813,2,2094,80003,503,1,300
2,8,813,2,2094,80005,503,1,300
2,8,813,2,2094,80005,504,1,600
2,8,813,2,2094,80005,516,1,2000
2,8,813,2,2094,80006,503,1,300
2,8,813,2,2094,80007,501,1,1200
2,8,821,1,1448,80011,503,1,600
2,8,821,1,1448,80011,504,1,500
2,8,821,1,1448,80011,508,1,2000
2,8,821,1,1448,80011,516,1,1000
2,8,821,1,1448,80014,503,1,1000
2,8,821,1,1448,80017,504,1,600
2,8,821,1,1448,80018,503,1,2000
2,8,821,1,5062,80021,503,1,1400
2,8,821,1,5062,80022,503,1,400
2,8,821,1,5062,80022,515,1,1800
2,8,821,1,5062,80024,503,1,1200
2,8,821,1,5062,80024,504,1,600
2,8,821,1,5062,80026,508,1,3500
2,8,821,1,5062,80026,516,1,12000
2,8,821,1,5062,80028,503,1,1500
2,8,821,1,5062,80029,503,1,500
2,8,816,2,1270,80032,503,1,1000
2,8,816,2,1270,80035,503,1,400
2,8,803,1,944,80041,503,1,400
2,8,803,1,944,80047,503,1,400
2,8,803,1,944,80047,504,1,600
2,8,811,1,1558,80054,503,1,600
2,8,811,1,1558,80055,508,1,10000
2,8,811,2,390,80063,504,1,1200
2,8,811,2,390,80065,505,1,7500
2,8,802,2,1152,80072,504,1,500
2,8,802,2,1152,80072,516,1,1000
2,8,802,2,1152,80079,508,1,200
2,8,802,2,1152,80079,516,1,2000
2,8,802,2,1152,80079,517,1,2000
2,8,812,2,866,80085,503,1,600
2,8,805,2,46,80092,503,1,1000
2,8,805,2,46,80095,504,1,1000
2,8,805,2,46,80099,502,1,800
2,8,827,2,804,80102,503,1,600
2,8,827,2,804,80102,504,1,600
2,8,807,2,946,80113,505,1,2000
2,8,807,2,946,80115,504,1,100
2,8,807,2,946,80116,503,1,600
