"zone","state","lga","sector","ea","pid","sc1q3","sc1q4","sc1q5a","sc1q5b","sc1q6","sc1q7"
1,7,701,2,606,1,1,,1,,85,0
1,7,701,2,606,2,1,,11,,45,26
1,7,701,2,606,3,2,,8,,10,25
1,7,701,2,606,4,1,,11,,40,26
1,7,701,2,606,5,1,,9,,25,26
1,7,702,2,632,1,1,,1,,99,0
1,7,702,2,632,2,1,,11,,46,31
1,7,702,2,632,3,1,,9,,26,41
1,7,702,2,632,4,1,,9,,37,26
1,7,702,2,632,5,1,,8,,40,31
1,7,705,2,4186,1,1,,1,1,46,26
1,7,705,2,4186,2,2,,2,2,29,0
1,7,705,2,4186,3,1,,11,,49,26
1,7,705,2,4186,4,1,,8,8,25,16
1,7,705,2,4186,5,1,,11,,41,23
1,7,707,2,560,1,1,,1,1,65,0
1,7,707,2,560,2,2,,2,1,15,16
1,7,707,2,560,3,1,,4,4,45,34
1,7,707,2,560,4,1,,3,3,50,16
1,7,707,2,560,5,1,,11,11,20,16
1,7,708,2,754,1,1,,1,,40,0
1,7,708,2,754,2,1,,8,,65,0
1,7,708,2,754,3,2,,2,,25,15
1,7,708,2,754,4,1,,3,,45,16
1,7,708,2,754,5,1,,5,,30,34
1,7,709,2,1226,1,1,,1,1,65,16
1,7,709,2,1226,2,2,,2,2,33,0
1,7,709,2,1226,3,1,,5,5,9,34
1,7,709,2,1226,4,1,,11,11,60,0
1,7,709,2,1226,5,1,,7,7,1,41
1,7,710,2,2726,1,1,,1,1,50,13
1,7,710,2,2726,2,1,,8,8,10,23
1,7,710,2,2726,3,1,,11,11,26,26
1,7,710,2,2726,4,2,,8,8,11,15
1,7,710,2,2726,5,1,,5,4,4,41
1,7,711,2,2532,1,1,,1,1,80,0
1,7,711,2,2532,2,2,,9,9,40,0
1,7,711,2,2532,3,1,,4,4,54,42
1,7,711,2,2532,4,1,,8,8,34,26
1,7,711,2,2532,5,1,,11,11,50,32
1,7,713,2,304,1,1,,1,,59,0
1,7,713,2,304,2,1,,11,,40,16
1,7,713,2,304,3,1,,11,,30,34
1,7,713,2,304,4,2,,2,,40,0
1,7,713,2,304,5,2,,8,,48,0
1,7,715,1,294,1,1,,1,,40,13
1,7,715,1,294,2,1,,3,,50,16
1,7,715,1,294,3,1,,5,,50,16
1,7,715,1,294,4,2,,8,,50,43
1,7,715,1,294,5,1,,9,,30,26
1,7,715,2,780,1,1,,1,,70,0
1,7,715,2,780,2,1,,3,,40,0
1,7,715,2,780,3,1,,,,40,16
1,7,715,2,780,4,2,,8,,50,0
1,7,715,2,780,5,1,,,,39,0
1,7,717,2,1248,1,1,,1,,90,0
1,7,717,2,1248,2,1,,3,,50,16
1,7,717,2,1248,3,1,,11,,27,34
1,7,717,2,1248,4,2,,2,,45,0
1,7,717,2,1248,5,1,,9,,35,43
1,7,718,2,1640,1,1,,1,,43,26
1,7,718,2,1640,2,1,,3,,33,26
1,7,718,2,1640,3,1,,10,,35,26
1,7,718,2,1640,4,2,,2,,32,16
1,7,718,2,1640,5,1,,8,,49,26
1,7,719,1,1612,1,1,,1,,34,41
1,7,719,1,1612,2,1,,8,,36,26
1,7,719,1,1612,3,1,,9,,50,26
1,7,719,1,1612,4,1,,6,,33,16
1,7,719,1,1612,5,2,,2,,26,26
1,7,722,2,234,1,1,,1,1,65,13
1,7,722,2,234,2,2,,2,2,9,21
1,7,722,2,234,3,1,,5,5,49,34
1,7,722,2,234,4,1,,11,11,65,14
1,7,722,2,234,5,1,,11,11,54,16
1,7,722,2,892,1,1,,1,1,65,13
1,7,722,2,892,2,2,,2,2,40,0
1,7,722,2,892,3,1,,7,7,3,41
1,7,722,2,892,4,1,,11,11,29,25
1,7,722,2,892,5,1,,11,11,50,13
1,22,2201,2,422,1,1,,11,,10,16
1,22,2201,2,422,2,1,,11,,25,16
1,22,2201,2,422,3,1,,11,,20,26
1,22,2201,2,422,4,2,,8,,30,0
1,22,2201,2,422,5,,,,,,
1,22,2203,2,266,1,1,,10,,26,16
1,22,2203,2,266,2,1,,11,,20,42
1,22,2203,2,266,3,1,,9,,80,0
1,22,2203,2,266,4,1,,11,,50,0
1,22,2203,2,266,5,2,,11,,38,0
1,22,2203,2,530,1,1,,1,,70,14
1,22,2203,2,530,2,1,,3,,20,16
1,22,2203,2,530,3,1,,11,,55,15
1,22,2203,2,530,4,1,,11,,30,
1,22,2203,2,530,5,2,,11,,40,0
1,22,2205,2,664,1,1,,1,,45,0
1,22,2205,2,664,2,1,,1,,30,13
1,22,2205,2,664,3,2,,5,,20,32
1,22,2205,2,664,4,1,,7,,2,41
1,22,2205,2,664,5,1,,11,,32,16
1,22,2205,2,2432,1,1,,1,,82,16
1,22,2205,2,2432,2,1,,3,,20,16
1,22,2205,2,2432,3,1,,11,,66,32
1,22,2205,2,2432,4,1,,11,,19,16
1,22,2205,2,2432,5,1,,4,,31,32
1,22,2209,1,792,1,1,,1,,80,11
1,22,2209,1,792,2,1,,3,,63,41
1,22,2209,1,792,3,1,,8,,70,16
1,22,2209,1,792,4,2,,11,,50,42
1,22,2209,1,792,5,1,,3,,53,42
1,22,2211,2,594,1,1,,1,1,60,0
1,22,2211,2,594,2,2,,8,8,30,0
1,22,2211,2,594,3,1,,5,5,40,26
1,22,2211,2,594,4,1,,11,11,33,34
1,22,2211,2,594,5,2,,7,7,2,26
1,22,2211,1,806,1,1,,1,,50,0
1,22,2211,1,806,2,1,,11,,40,14
1,22,2211,1,806,3,2,,11,,82,0
1,22,2211,1,806,4,1,,11,,30,0
1,22,2211,1,806,5,1,,5,,30,41
1,22,2214,2,1354,1,1,,11,,54,34
1,22,2214,2,1354,2,1,,1,,65,0
1,22,2214,2,1354,3,1,,1,,30,0
1,22,2214,2,1354,4,1,,11,,60,0
1,22,2214,2,1354,5,2,,8,,20,15
1,22,2216,1,428,1,1,,1,,60,0
1,22,2216,1,428,2,1,,8,11,35,26
1,22,2216,1,428,3,1,,8,11,30,32
1,22,2216,1,428,4,2,,11,,29,26
1,22,2216,1,428,5,2,,8,,35,34
1,22,2218,2,596,1,1,,11,,50,32
1,22,2218,2,596,2,1,,4,,40,32
1,22,2218,2,596,3,1,,11,,25,26
1,22,2218,2,596,4,1,,3,,30,26
1,22,2218,2,596,5,2,,11,,20,25
1,22,2220,1,1296,1,1,,11,,20,41
1,22,2220,1,1296,2,1,,3,,25,32
1,22,2220,1,1296,3,1,,3,,30,43
1,22,2220,1,1296,4,1,,10,,5,23
1,22,2220,1,1296,5,2,,11,5,15,43
1,23,2302,2,1982,1,1,,3,11,75,34
1,23,2302,2,1982,2,1,,9,11,64,34
1,23,2302,2,1982,3,1,,5,11,78,26
1,23,2302,2,1982,4,1,,8,,51,34
1,23,2302,2,1982,5,1,,11,,35,43
1,23,2303,2,2348,1,1,,1,,92,0
1,23,2303,2,2348,2,1,,3,,90,51
1,23,2303,2,2348,3,1,,4,,43,42
1,23,2303,2,2348,4,1,,7,,10,34
1,23,2303,2,2348,5,2,,8,,47,0
1,23,2303,2,2348,6,1,,7,,13,41
1,23,2303,2,2348,7,1,,9,,70,51
1,23,2304,2,322,1,1,,1,,67,43
1,23,2304,2,322,2,1,,9,,74,16
1,23,2304,2,322,3,1,,11,,74,16
1,23,2304,2,322,4,2,,8,,70,0
1,23,2304,2,322,5,2,,5,,51,42
1,23,2304,2,322,6,2,,2,,53,34
1,23,2306,1,970,1,1,,1,,28,28
1,23,2306,1,970,2,1,,8,,25,0
1,23,2306,1,970,3,1,,5,,24,34
1,23,2306,1,970,4,2,,11,,18,41
1,23,2306,1,970,5,2,,8,,14,26
1,23,2307,1,78,1,1,,1,,28,16
1,23,2307,1,78,2,1,,8,,19,26
1,23,2307,1,78,3,1,,9,,22,34
1,23,2307,1,78,4,1,,3,,10,26
1,23,2307,1,78,5,2,,8,,21,16
1,23,2307,1,2316,1,1,,1,,78,16
1,23,2307,1,2316,2,1,,3,,53,43
1,23,2307,1,2316,3,1,,11,,47,34
1,23,2307,1,2316,4,1,,11,,42,41
1,23,2307,1,2316,5,2,,8,,24,26
1,23,2308,1,556,1,1,,1,,68,51
1,23,2308,1,556,2,2,,8,,59,0
1,23,2308,1,556,3,1,,9,,34,41
1,23,2308,1,556,4,1,,5,,28,26
1,23,2308,1,556,5,1,,11,,22,26
1,23,2308,1,5180,1,1,,1,,85,51
1,23,2308,1,5180,2,1,,11,,35,26
1,23,2308,1,5180,3,2,,8,,65,0
1,23,2308,1,5180,4,1,,9,,70,51
1,23,2308,1,5180,5,1,,3,,27,26
1,23,2309,2,998,1,1,,1,,35,0
1,23,2309,2,998,2,1,,8,,15,0
1,23,2309,2,998,3,2,,8,,28,0
1,23,2309,2,998,4,2,,8,,30,0
1,23,2309,2,998,5,2,,11,,10,34
1,23,2309,2,998,6,1,,3,,20,0
1,23,2309,2,998,7,1,,8,,28,0
1,23,2315,2,924,1,1,,1,,92,0
1,23,2315,2,924,2,1,,3,,68,41
1,23,2315,2,924,3,2,,8,,48,0
1,23,2315,2,924,4,1,,8,,69,42
1,23,2315,2,924,5,1,,10,,1,16
1,23,2315,2,924,6,1,,9,,85,51
1,23,2316,1,140,1,1,,1,,68,41
1,23,2316,1,140,2,1,,9,,70,51
1,23,2316,1,140,3,1,,11,,74,51
1,23,2316,1,140,4,1,,9,,69,51
1,23,2316,1,140,5,1,,11,,73,0
1,23,2316,1,140,6,2,,8,,67,0
1,23,2316,1,140,7,1,,5,,85,52
1,23,2316,1,140,8,1,,8,,68,52
1,23,2316,1,140,9,1,,3,,63,16
1,25,2502,2,728,1,1,,1,,27,51
1,25,2502,2,728,2,1,,11,,27,51
1,25,2502,2,728,3,1,,11,,27,51
1,25,2502,2,728,4,1,,11,,27,51
1,25,2502,2,728,5,1,,11,,28,51
1,25,2504,2,222,1,1,,1,,46,41
1,25,2504,2,222,2,1,,3,,56,31
1,25,2504,2,222,3,1,,8,,40,0
1,25,2504,2,222,4,1,,9,,5,41
1,25,2504,2,222,5,1,,11,,38,41
1,25,2504,2,222,6,1,,7,,43,41
1,25,2507,2,814,1,1,,1,,90,0
1,25,2507,2,814,2,1,,2,,64,0
1,25,2507,2,814,3,1,,11,,45,26
1,25,2507,2,814,4,1,,5,,30,26
1,25,2507,2,814,5,2,,8,,60,0
1,25,2508,1,2788,1,1,,1,,40,43
1,25,2508,1,2788,2,2,,2,,25,0
1,25,2508,1,2788,3,1,,11,,2,0
1,25,2508,1,2788,4,1,,8,,5,51
1,25,2509,2,248,1,1,,1,,58,16
1,25,2509,2,248,2,1,,2,,30,24
1,25,2509,2,248,3,1,,11,,40,0
1,25,2509,2,248,4,1,,11,,50,0
1,25,2509,2,248,5,1,,11,,35,34
1,25,2511,2,1424,1,1,,1,,70,0
1,25,2511,2,1424,2,1,,3,,25,26
1,25,2511,2,1424,3,1,,7,,35,41
1,25,2511,2,1424,4,1,,5,,36,34
1,25,2511,2,1424,5,1,,9,,5,41
1,25,2513,2,128,1,1,,1,,20,31
1,25,2513,2,128,2,1,,2,,57,16
1,25,2513,2,128,3,1,,5,,56,31
1,25,2513,2,128,4,1,,8,,37,26
1,25,2513,2,128,5,1,,11,,56,0
1,25,2513,2,128,6,1,,11,,53,26
1,26,2601,2,822,1,1,,1,,65,51
1,26,2601,2,822,2,1,,5,,41,34
1,26,2601,2,822,3,1,,4,,52,34
1,26,2601,2,822,4,1,,3,,45,51
1,26,2601,2,822,5,1,,3,,62,51
1,26,2603,1,658,1,1,,1,,50,
1,26,2603,1,658,2,1,,5,,40,
1,26,2603,1,658,3,1,,,,,
1,26,2603,1,658,4,1,,5,,30,
1,26,2603,1,658,5,1,,11,,50,
1,26,2603,1,1786,1,1,,1,,67,42
1,26,2603,1,1786,2,1,,5,,39,42
1,26,2603,1,1786,3,1,,5,,40,42
1,26,2603,1,1786,4,1,,11,,25,41
1,26,2603,1,1786,5,1,,11,,28,42
1,26,2605,2,594,1,1,,1,,75,0
1,26,2605,2,594,2,1,,6,,35,41
1,26,2605,2,594,3,1,,11,,35,26
1,26,2605,2,594,4,1,,11,,33,26
1,26,2606,1,516,1,1,,1,,65,16
1,26,2606,1,516,2,1,,8,,44,42
1,26,2606,1,516,3,1,,3,,76,0
1,26,2606,1,516,4,1,,11,,85,0
1,26,2606,1,516,5,1,,8,,25,32
1,26,2606,1,516,6,2,,11,,25,16
1,26,2608,2,820,1,1,,1,,70,28
1,26,2608,2,820,2,2,,5,,45,23
1,26,2608,2,820,3,1,,6,,67,51
1,26,2608,2,820,4,1,,10,,35,23
1,26,2608,2,820,5,1,,8,,35,43
1,26,2608,2,820,6,1,,8,,70,51
1,26,2608,2,820,7,1,,8,,35,43
1,26,2611,2,424,1,1,,1,,68,51
1,26,2611,2,424,2,1,,11,,45,51
1,26,2611,2,424,3,1,,11,,22,26
1,26,2611,2,424,4,1,,9,,54,51
1,26,2611,2,424,5,1,,11,,61,51
1,26,2611,2,424,6,1,,8,,42,51
1,26,2613,2,1462,1,1,,1,,60,0
1,26,2613,2,1462,2,1,,7,,50,16
1,26,2613,2,1462,3,2,,5,,35,34
1,26,2613,2,1462,4,2,,8,,55,0
1,26,2613,2,1462,5,1,,11,,50,16
1,26,2613,2,1462,6,1,,9,,46,41
1,26,2613,2,2248,1,1,,1,,69,
1,26,2613,2,2248,2,1,,11,,60,
1,26,2613,2,2248,3,1,,11,,59,
1,26,2613,2,2248,4,1,,4,,32,32
1,26,2613,2,2248,5,1,,6,,35,41
1,26,2613,2,2248,6,1,,11,,70,
1,26,2615,2,2178,1,1,,1,,78,51
1,26,2615,2,2178,2,1,,1,,80,51
1,26,2615,2,2178,3,1,,1,,65,51
1,26,2615,2,2178,4,1,,11,,10,51
1,26,2615,2,2178,5,1,,9,,50,51
1,26,2615,2,2178,6,1,,1,,49,51
1,26,2615,2,2178,7,1,,8,,85,51
1,26,2615,2,2196,1,1,,1,,30,51
1,26,2615,2,2196,2,1,,11,,30,51
1,26,2615,2,2196,3,1,,11,,29,51
1,26,2615,2,2196,4,1,,11,,20,51
1,26,2615,2,2196,5,1,,11,,30,0
1,26,2615,2,2196,6,1,,11,,20,0
1,26,2615,2,2196,7,1,,11,,15,51
1,26,2615,2,2196,8,1,,11,,29,51
1,26,2615,2,2196,9,1,,11,,15,51
1,26,2616,2,254,1,1,,1,,65,51
1,26,2616,2,254,2,1,,3,,60,51
1,26,2616,2,254,3,1,,3,,40,34
1,26,2616,2,254,4,1,,3,,70,51
1,26,2616,2,254,5,1,,,,60,51
1,26,2616,2,254,6,1,,11,,39,41
1,26,2618,2,494,1,1,,3,,65,0
1,26,2618,2,494,2,1,,9,,31,16
1,26,2618,2,494,3,1,,8,,20,16
1,26,2618,2,494,4,2,,8,,21,22
1,26,2618,2,494,5,1,,11,,35,0
1,26,2618,2,1276,1,1,,11,,35,16
1,26,2618,2,1276,2,1,,7,,41,26
1,26,2618,2,1276,3,1,,3,,30,32
1,26,2618,2,1276,4,2,,8,,67,0
1,26,2618,2,1276,5,2,,1,,64,0
1,26,2621,2,100,1,1,,1,,63,51
1,26,2621,2,100,2,1,,1,,60,51
1,26,2621,2,100,3,1,,1,,63,51
1,26,2621,2,100,4,1,,1,,52,51
1,26,2621,2,100,5,1,,1,,55,51
1,26,2621,2,100,6,1,,1,,33,51
1,26,2621,1,940,1,1,,1,,40,34
1,26,2621,1,940,2,1,,11,,60,28
1,26,2621,1,940,3,1,,8,,30,26
1,26,2621,1,940,4,1,,8,,45,28
1,26,2621,1,940,5,1,,1,,68,0
1,26,2621,1,940,6,1,,11,,60,28
1,26,2623,2,1688,1,1,,1,,47,51
1,26,2623,2,1688,2,1,,3,,25,51
1,26,2623,2,1688,3,1,,8,,40,51
1,26,2623,2,1688,4,1,,11,,75,51
1,26,2623,2,1688,5,1,,8,,15,51
1,26,2623,2,1688,6,1,,8,,35,16
1,26,2623,2,1688,7,2,,8,,20,23
1,26,2625,2,926,1,1,,1,,60,51
1,26,2625,2,926,2,1,,2,,57,51
1,26,2625,2,926,3,1,,2,,60,33
1,26,2625,2,926,4,1,,9,,55,51
1,31,3101,2,604,1,1,,1,,29,0
1,31,3101,2,604,2,1,,10,,5,23
1,31,3101,2,604,3,2,,9,,23,23
1,31,3101,2,604,4,1,,11,,36,32
1,31,3101,2,604,5,1,,11,,58,16
1,31,3101,2,604,6,2,,8,,5,41
1,31,3103,2,874,1,1,,1,,28,0
1,31,3103,2,874,2,1,,11,,5,23
1,31,3103,2,874,3,1,,8,,27,23
1,31,3103,2,874,4,1,,9,,2,41
1,31,3103,2,874,5,2,,11,,26,0
1,31,3103,2,874,6,1,,5,,10,23
1,31,3105,1,2914,1,1,,1,,51,0
1,31,3105,1,2914,2,1,,8,,11,41
1,31,3105,1,2914,3,1,,8,,66,0
1,31,3105,1,2914,4,1,,9,,40,14
1,31,3105,1,2914,5,1,,3,,49,0
1,31,3105,1,2914,6,1,,3,,17,14
1,31,3105,1,2914,7,1,,10,,19,41
1,31,3105,1,2914,8,1,,3,,48,0
1,31,3107,1,724,1,1,,1,,15,15
1,31,3107,1,724,2,1,,5,,10,42
1,31,3107,1,724,3,2,,8,,25,0
1,31,3107,1,724,4,1,,3,,7,41
1,31,3107,1,724,5,1,,11,,29,34
1,31,3107,2,1092,1,1,,1,,41,15
1,31,3107,2,1092,2,1,,4,,45,32
1,31,3107,2,1092,3,2,,8,,15,32
1,31,3107,2,1092,4,1,,5,,28,32
1,31,3107,2,1092,5,1,,11,,30,41
1,31,3107,2,1092,6,1,,11,,30,31
1,31,3109,2,1026,1,1,,1,,40,23
1,31,3109,2,1026,2,1,,9,,35,0
1,31,3109,2,1026,3,1,,5,,28,23
1,31,3109,2,1026,4,1,,11,,20,23
1,31,3109,2,1026,5,1,,8,,35,0
1,31,3111,2,2966,1,1,,1,,58,0
1,31,3111,2,2966,2,1,,2,,59,0
1,31,3111,2,2966,3,1,,11,,37,0
1,31,3111,2,2966,4,2,,11,,22,21
1,31,3111,2,2966,5,1,,9,,25,16
1,31,3112,2,350,1,1,,1,,75,13
1,31,3112,2,350,2,1,,3,,35,14
1,31,3112,2,350,3,2,,8,,30,14
1,31,3112,2,350,4,1,,11,,32,0
1,31,3112,2,350,5,1,,11,,62,0
1,31,3112,2,350,6,1,,9,,35,0
1,31,3113,2,332,1,1,,3,,75,0
1,31,3113,2,332,2,1,,4,,45,16
1,31,3113,2,332,3,1,,9,,59,32
1,31,3113,2,332,4,2,,8,,40,32
1,31,3113,2,332,5,1,,11,,30,23
1,31,3113,2,332,6,1,,11,,28,23
1,31,3115,2,680,1,1,,1,,38,28
1,31,3115,2,680,2,1,,7,,8,16
1,31,3115,2,680,3,1,,5,,49,42
1,31,3115,2,680,4,2,,8,,18,41
1,31,3115,2,680,5,1,,11,,77,0
1,31,3116,2,1344,1,1,,1,,48,23
1,31,3116,2,1344,2,1,,9,,1,41
1,31,3116,2,1344,3,1,,5,,2,32
1,31,3116,2,1344,4,1,,5,9,3,41
1,31,3116,2,1344,5,1,,8,,30,0
1,31,3116,2,1344,6,2,,8,,9,21
1,37,3702,1,972,1,1,,1,,22,16
1,37,3702,1,972,2,2,,8,,10,16
1,37,3702,1,972,3,2,,8,,22,61
1,37,3702,1,972,4,2,,11,,20,23
1,37,3702,1,972,5,1,,3,,22,61
1,37,3706,2,6,1,1,,1,,30,0
1,37,3706,2,6,2,1,,8,,9,15
1,37,3706,2,6,3,2,,11,,30,0
1,37,3706,2,6,4,1,,3,,60,0
1,37,3706,1,156,1,1,,1,,45,13
1,37,3706,1,156,2,1,,9,,35,26
1,37,3706,1,156,3,1,,11,,17,26
1,37,3706,1,156,4,1,,3,,52,0
1,37,3706,1,156,5,2,,8,,12,26
1,37,3706,1,4144,1,1,,1,,77,61
1,37,3706,1,4144,2,1,,11,,51,42
1,37,3706,1,4144,3,2,,11,,38,26
1,37,3706,1,4144,4,1,,9,,1,42
1,37,3706,1,4144,5,2,,8,,53,41
2,2,201,2,60,1,1,,1,9,57,0
2,2,201,2,60,2,1,,10,6,55,0
2,2,201,2,60,3,2,,2,9,22,26
2,2,201,2,60,4,2,,,11,26,26
2,2,201,2,60,5,1,,,11,23,25
2,2,201,2,60,6,1,,,11,24,26
2,2,201,2,60,7,1,,,6,31,16
2,2,201,2,60,8,1,,,6,60,0
2,2,203,2,1224,1,1,,,1,30,0
2,2,203,2,1224,2,1,,,11,30,26
2,2,203,2,1224,3,1,,,6,30,16
2,2,203,2,1224,4,2,,,2,30,0
2,2,203,2,1224,5,2,,,2,30,0
2,2,203,2,1224,6,1,,,6,40,0
2,2,203,2,1224,7,1,,,6,30,0
2,2,205,2,712,1,1,,,1,40,26
2,2,205,2,712,2,1,,,6,58,16
2,2,205,2,712,3,1,,,11,22,26
2,2,205,2,712,4,1,,,9,75,26
2,2,205,2,712,5,1,,,9,2,26
2,2,205,2,712,6,1,,,7,47,31
2,2,205,2,712,7,2,,,7,47,16
2,2,205,2,712,8,1,,,8,38,42
2,2,207,2,1302,1,1,,1,1,70,0
2,2,207,2,1302,2,1,,,4,36,26
2,2,207,2,1302,3,1,,,5,55,0
2,2,207,2,1302,4,1,,,3,28,26
2,2,207,2,1302,5,1,,,9,30,26
2,2,207,2,1302,6,1,,,7,20,26
2,2,207,2,1302,7,2,,,5,18,26
2,2,207,2,1302,8,1,,,9,36,0
2,2,209,2,1040,1,1,,1,,48,31
2,2,209,2,1040,2,1,,1,,59,0
2,2,209,2,1040,3,1,,6,,25,0
2,2,209,2,1040,4,2,,8,,39,26
2,2,209,2,1040,5,2,,6,,5,26
2,2,209,2,1040,6,2,,6,,33,26
2,2,209,2,1040,7,1,,6,,65,0
2,2,209,2,1040,8,1,,6,,25,26
2,2,209,2,1040,9,1,,6,,68,0
2,2,210,2,1300,1,1,,,1,53,16
2,2,210,2,1300,2,1,,,3,3,26
2,2,210,2,1300,3,1,,,7,15,41
2,2,210,2,1300,4,1,,,4,30,41
2,2,210,2,1300,5,1,,,11,35,26
2,2,212,2,956,1,1,,,1,50,0
2,2,212,2,956,2,2,,,7,40,0
2,2,212,2,956,3,1,,,11,40,0
2,2,212,2,956,4,1,,,11,40,0
2,2,212,2,956,5,1,,,11,40,0
2,2,212,2,956,6,1,,,11,40,0
2,2,212,2,956,7,2,,,8,30,0
2,2,212,2,956,8,2,,,11,50,0
2,2,212,2,956,9,1,,,11,50,0
2,2,214,2,898,1,1,,,1,40,26
2,2,214,2,898,2,1,,,8,61,42
2,2,214,2,898,3,1,,,3,49,26
2,2,214,2,898,4,1,,,5,52,42
2,2,214,2,898,5,1,,,11,15,26
2,2,214,2,898,6,2,,,8,20,26
2,2,215,1,8,1,1,,,1,40,16
2,2,215,1,8,2,1,,,3,35,16
2,2,215,1,8,3,1,,,8,40,16
2,2,215,1,8,4,1,,,4,2,42
2,2,215,1,8,5,1,,,8,25,26
2,2,215,1,8,6,1,,,5,20,42
2,2,215,1,8,7,2,,,11,18,26
2,2,215,1,8,8,1,,,8,20,26
2,2,215,1,8,9,1,,,9,30,51
2,2,216,2,200,1,1,,1,,30,26
2,2,216,2,200,2,2,,2,,20,16
2,2,216,2,200,3,1,,9,,30,26
2,2,216,2,200,4,1,,7,,20,26
2,2,216,2,200,5,2,,11,,35,0
2,2,216,2,200,6,1,,4,,43,16
2,2,216,2,200,7,1,,5,,37,16
2,2,216,2,200,8,2,,11,,16,11
2,2,216,2,200,9,1,,5,,20,11
2,2,218,2,1592,1,1,,,1,35,0
2,2,218,2,1592,2,1,,,9,37,0
2,2,218,2,1592,3,1,,,3,38,0
2,2,218,2,1592,4,1,,,3,20,0
2,2,218,2,1592,5,1,,,3,20,0
2,2,218,2,1592,6,1,,,3,17,0
2,2,218,2,1592,7,1,,,3,35,0
2,2,218,2,1592,8,1,,,3,20,0
2,2,218,2,1592,9,1,,,3,30,0
2,2,221,2,18,1,1,,1,,50,0
2,2,221,2,18,2,1,,9,,11,16
2,2,221,2,18,3,1,,3,,45,16
2,2,221,2,18,4,1,,3,,22,0
2,2,221,2,18,5,2,,2,,22,0
2,2,221,2,18,6,2,,2,,19,0
2,2,221,2,18,7,1,,11,,25,26
2,2,221,2,18,8,1,,9,,28,26
2,5,501,2,60,1,1,,1,,62,51
2,5,501,2,60,2,1,,9,,65,51
2,5,501,2,60,3,1,,8,,35,26
2,5,501,2,60,4,1,,6,,25,51
2,5,501,2,60,5,2,,11,,15,26
2,5,502,1,2194,1,1,,1,,55,0
2,5,502,1,2194,2,1,,8,,5,16
2,5,502,1,2194,3,1,,3,,50,0
2,5,502,1,2194,4,1,,3,,28,41
2,5,502,1,2194,5,1,,3,,42,41
2,5,502,2,3878,1,1,,1,,65,0
2,5,502,2,3878,2,1,,9,,30,34
2,5,502,2,3878,3,1,,9,,19,23
2,5,502,2,3878,4,1,,6,,22,26
2,5,502,2,3878,5,1,,6,,20,23
2,5,504,2,708,1,1,,1,,85,0
2,5,504,2,708,2,1,,9,,68,0
2,5,504,2,708,3,1,,11,,26,23
2,5,504,2,708,4,2,,11,,25,0
2,5,504,2,708,5,1,,2,,48,16
2,5,506,2,830,1,1,,1,,41,16
2,5,506,2,830,2,1,,3,,45,16
2,5,506,2,830,3,1,,11,,47,26
2,5,506,2,830,4,1,,9,,41,0
2,5,506,2,830,5,1,,5,,26,32
2,5,508,2,718,1,1,,1,,40,26
2,5,508,2,718,2,1,,9,,20,51
2,5,508,2,718,3,1,,8,3,33,23
2,5,508,2,718,4,1,,8,,33,23
2,5,508,2,718,5,1,,6,,33,23
2,5,508,2,984,1,1,,1,,80,51
2,5,508,2,984,2,1,,3,,42,16
2,5,508,2,984,3,1,,9,,50,51
2,5,508,2,984,4,1,,11,,25,16
2,5,508,2,984,5,1,,11,,25,16
2,5,508,2,984,6,1,,7,,45,41
2,5,510,1,872,1,1,,1,,15,32
2,5,510,1,872,2,2,,2,,15,34
2,5,510,1,872,3,1,,11,,5,51
2,5,510,1,872,4,1,,9,,5,51
2,5,510,1,872,5,2,,11,,5,51
2,5,510,2,1516,1,1,,1,,55,26
2,5,510,2,1516,2,1,,9,,50,51
2,5,510,2,1516,3,1,,11,11,25,51
