"zone","state","lga","sector","ea","line_no","sc3cq14","activity_code","sc3cq15","sc3cq16","sc3cq17","sc3cq18","sc3cq19","sc3cq20","sc3cq21","sc3cq22","sc3cq23"
1,7,701,2,606,1,"HARVESTING OF B/SEED",1303,1,400,2,,2,,2,,
1,7,701,2,606,2,"HARVESTING OF B/SEED",1303,1,200,2,,2,,2,,
1,7,701,2,606,3,"HARVESTING OF CASSAVA",1305,1,300,2,,2,,2,,
1,7,701,2,606,4,"HARVESTING OF CASSAVA",1305,1,400,2,,2,,2,,
1,7,701,2,606,5,"HARVESTING OF YAM",1320,1,700,2,,2,,2,,
1,7,701,2,606,6,"HARVESTING OF YAM",1320,1,400,2,,2,,2,,
1,7,702,2,632,1,"HARVESTING OF G/CORN",1310,1,300,1,300,2,,2,4000,2
1,7,702,2,632,2,"HARVESTING OF RICE",1319,1,400,1,400,2,,2,4000,2
1,7,702,2,632,3,"YAM HARVEST",1320,1,500,1,500,2,,2,6000,2
1,7,709,2,1226,7,"NON",9999,1,3000,2,,2,,2,,
1,7,713,2,304,5,"CULTIVATION OF CASSAVA",1502,1,1000,2,,2,,1,2000,100
1,7,713,2,304,6,"CULTIVATION OF OKRO",1506,1,1000,2,,2,,1,2000,100
1,7,715,1,294,6,"HARVESTING",1300,1,600,1,500,1,500,1,1500,50
1,7,715,2,780,6,"HARVESTING",1300,1,250,1,250,1,250,1,700,50
1,7,717,2,1248,6,"TOBACCO LOCAL CULTIVATION",1512,1,250,1,250,1,250,1,400,100
1,7,718,2,1640,1,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,2,"HARVESTING",1300,1,500,2,,2,,2,,
1,7,718,2,1640,3,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,4,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,5,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,718,2,1640,6,"HARVESTING",1300,1,400,2,,2,,2,,
1,7,719,1,1612,5,,9999,1,3000,2,,2,,2,,
1,7,719,1,1612,7,"MESSY BRICK LAYER",2002,1,700,2,,2,,2,,
1,7,722,2,234,2,,9999,1,3800,2,,2,,2,,
1,22,2203,2,266,1,"HARVESTING OF CROPS",1300,1,500,1,500,1,500,2,,
1,22,2205,2,664,1,"DIGGING OF TOILET",3004,1,800,2,,2,,1,4000,
1,22,2205,2,664,2,"DIGGING OF WELL",3002,1,800,2,,2,,1,8000,
1,22,2205,2,2432,1,"BUILDING OF HOUSE",2001,1,1500,1,800,1,500,2,,
1,22,2205,2,2432,2,"HARVESTING OF PALM OIL",1316,1,4000,2,,2,,2,,
1,22,2211,2,594,7,"HARVESTING OF RICE",1319,1,500,1,500,2,,1,20000,
1,22,2211,1,806,1,"HARVESTING OF G/NUTS",1309,1,600,1,500,2,,2,,
1,22,2211,1,806,2,"HARVESTING OF RICE",1319,1,600,1,500,2,,2,,
1,22,2214,2,1354,1,"HARVESTING",1300,1,400,1,300,2,,1,5000,
1,22,2216,1,428,1,"BUILDING OF HOUSE",2001,1,2000,1,800,1,500,2,,
1,22,2216,1,428,2,"HAVESTING",1300,1,1000,1,500,1,300,2,,
1,22,2218,2,596,1,"HARVESTING OF CASHEW NUT",1304,1,350,1,200,1,100,2,,
1,22,2218,2,596,2,"HARVESTING OF PALM OIL",1316,1,40,2,,2,,2,,
1,22,2220,1,1296,1,,9999,1,1500,2,,,,1,4500,
1,22,2220,1,1296,2,,9999,1,1500,1,800,2,,,,
1,23,2304,2,322,1,"HARVESTING",1300,2,,1,500,1,500,1,3000,50
1,23,2306,1,970,1,"HARVESTING",1300,1,1500,1,1200,1,1200,1,3000,50
1,23,2307,1,78,1,"HARVESTING",1300,1,800,1,500,1,500,1,3000,70
1,23,2307,1,2316,1,"HARVESTING",1300,1,1000,1,700,1,500,1,2000,50
1,23,2315,2,924,1,"HARVESTING",1300,2,,1,500,1,500,2,,
1,23,2315,2,924,2,"SPRAYING",1202,1,700,2,,2,,1,3000,40
1,23,2316,1,140,1,"HARVESTING",1300,1,500,1,400,1,400,1,4000,20
1,23,2316,1,140,2,"SPRAYING THE WEEKS",1202,1,500,1,400,1,400,1,5000,20
1,25,2502,2,728,2,"MAKING HEAPS",1405,1,1000,2,,2,,1,1500,4
1,25,2504,2,222,1,"MASON WORK",2002,1,2000,2,,1,700,2,,
1,25,2504,2,222,2,"SPLITTING OF WOOD",4007,1,1500,2,,1,1000,2,,
1,25,2507,2,814,1,"MAKING HEAPS",1405,1,300,2,,1,250,1,,
1,25,2507,2,814,2,"MAKING RIDGES",1102,1,300,2,,1,250,1,,
1,25,2509,2,248,1,"SPLITTING OF WOOD/SWEEP",4007,1,500,1,500,2,,2,,
1,25,2511,2,1424,1,"HARVESTING",1300,1,250,1,250,1,250,1,5000,0
1,25,2511,2,1424,2,"MAKING HEAPS",1405,1,500,2,,1,300,1,9000,3
1,25,2513,2,128,1,"BUIDING",2001,1,500,2,,1,500,2,,
1,25,2513,2,128,2,"LUMBERING",,1,1000,2,,1,1000,2,,
1,25,2513,2,128,3,"MAKING HEAPS",1405,1,800,2,,1,800,1,800,4
1,26,2601,2,822,1,"HARVESTING",1300,1,500,2,,1,300,,3000,15000
1,26,2603,1,658,1,"HARVESTING",1300,1,1000,1,800,2,,1,1000,
1,26,2603,1,658,2,"TRANSPORTATION",4001,1,1000,1,800,2,,1,1000,
1,26,2603,1,1786,1,"HARVESTING",1300,1,600,1,500,1,500,1,,
1,26,2605,2,594,1,"DIGGING OF WELL",3002,1,10000,2,,2,,2,,
1,26,2605,2,594,2,"HEAP OF YAM",1405,1,1500,2,,2,,1,,500
1,26,2605,2,594,3,"ROAD CLEARING",3001,2,,2,,1,500,1,5000,
1,26,2606,1,516,1,"HARVEST G/CORN",1310,1,1300,2,,2,,1,2000,
1,26,2606,1,516,2,"HARVEST MAIZE",1312,1,1200,1,500,1,200,1,1500,
1,26,2606,1,516,3,"HEAPS MAKING",1405,1,4000,2,,2,,2,,
1,26,2606,1,516,4,"HERVEST OF G/NUT",1309,1,950,1,350,1,200,1,7000,
1,26,2606,1,516,5,"HERVEST OF MILLON",1313,1,900,1,450,2,,1,,
1,26,2606,1,516,6,"HERVEST OF RICE",1319,1,750,1,400,1,200,1,14000,
1,26,2606,1,516,7,"SPREY  OF HERBCIDE",1202,1,1600,2,,2,,1,1000,
1,26,2606,1,516,8,"TRANSPORTATION",4001,1,6000,2,,2,,2,,
1,26,2611,2,424,1,"GROUNDNUT DIGGING",1309,1,800,2,,1,600,1,4200,20
1,26,2611,2,424,2,"HEAP MAKING",1405,1,1500,2,,1,500,1,10000,25
1,26,2611,2,424,3,"HERVESTING  OF PEPPER",1318,1,1000,1,1500,1,550,1,15000,18
1,26,2613,2,2248,1,"HARVESTING",1300,1,200,2,,2,,1,3000,
1,26,2615,2,2178,1,"GROUNTNUT DIGING",1300,1,1000,2,,2,,1,4500,20
1,26,2615,2,2178,2,"HERVEST OF BEANS",1302,1,600,1,600,1,250,1,3600,15
1,26,2615,2,2178,3,"HERVEST OF GUNEA CORN",1310,1,1000,2,,2,,1,7000,20
1,26,2615,2,2178,4,"HERVEST OF MAIZE",1312,1,700,2,,1,450,1,2800,10
1,26,2615,2,2178,5,"HERVEST OF PEPPER",1318,1,800,1,800,2,,2,4000,20
1,26,2615,2,2178,6,"HERVEST OF RICE",1319,1,1500,2,,2,,1,4500,20
1,26,2615,2,2196,1,"HERVEST  OF G/CORN",1310,1,400,2,,2,,1,400,10
1,26,2615,2,2196,2,"HERVEST OF MAIZE",1312,1,400,2,,2,,1,3000,5
1,26,2616,2,254,1,"HARVESTING OF G/CORN",1310,2,,2,,2,,2,,
1,26,2616,2,254,2,"HARVESTING OF MAIZE",1312,1,1000,1,1000,1,500,1,2500,10
1,26,2618,2,494,1,,9999,1,600,1,500,,,,,
1,26,2618,2,494,2,"HAEVEST OF YAM",1320,1,700,1,700,1,350,1,5000,
1,26,2618,2,494,3,"HARVEST  OF G/CORN",1310,1,1200,1,600,1,350,1,1200,
1,26,2618,2,494,4,"HARVEST OF GROUNDNUT",1309,1,,,,,,,,
1,26,2618,2,494,5,"HARVEST OF MAIZE",1312,1,1000,1,2000,2,,1,7000,
1,26,2618,2,494,6,"HARVEST OF MILON",1313,1,,1,,1,,,800,
1,26,2618,2,1276,1,"HARVEST OF GROUNDNUT",1309,2,,,,,,,,
1,26,2618,2,1276,2,"HEAP  MAKING",1405,1,1000,2,,,,,3000,5
1,26,2618,2,1276,3,"HERVEST OF RICE",1319,1,800,1,300,1,100,1,9000,3
1,26,2621,2,100,1,"BEANS HARVESTING",1302,1,800,1,700,1,350,1,2400,5
1,26,2621,2,100,2,"HERVEST OF GROUNDNUT",1309,1,800,1,700,1,350,1,2400,10
1,26,2621,2,100,3,"RICE  HARVESTING",1319,1,800,2,,2,,1,4500,10
1,26,2621,1,940,1,"HARVEST OF BEANS",1302,1,500,1,500,1,400,1,4800,5
1,26,2621,1,940,2,"HARVEST OF GUNEA CORN",1310,1,800,2,,2,,2,,7
1,26,2621,1,940,3,"HARVEST OF PEPPER",1318,1,600,1,600,1,400,1,4800,5
1,26,2623,2,1688,1,,9999,,,,,,,,,393750
1,26,2623,2,1688,2,"HARVEST  YAM",1320,1,1000,2,,2,,1,30000,20
1,26,2623,2,1688,3,"HARVEST OF MAIZE",1312,1,2750,2,,2,,1,82500,
1,26,2623,2,1688,4,"HARVEST OF MAIZE",1312,1,1500,1,1500,1,850,1,27000,
1,26,2625,2,926,1,"HARVESTING",1300,1,1500,1,1000,1,800,1,1500,
1,31,3101,2,604,1,"HARVESTING",1300,1,500,1,400,1,400,2,,
1,31,3103,2,874,6,"CARRYING CROPS HOME",1601,1,500,1,500,1,500,1,500,
1,31,3103,2,874,7,"HARVESTING",1300,1,1400,1,1200,1,800,1,2700,
1,31,3103,2,874,8,"TRASHING",1401,1,750,1,500,1,350,1,1500,
1,31,3107,1,724,7,"HARVESTING",1300,1,200,1,150,1,150,1,2000,
1,31,3107,1,724,8,"HARVESTING",1300,1,200,1,150,1,150,1,2000,
1,31,3107,2,1092,3,"HARVESTING",1300,1,150,1,100,1,100,2,,
1,31,3109,2,1026,3,"HARVESTING",1300,1,600,1,600,1,200,2,,
1,31,3111,2,2966,1,"CARRAGE OF FARM",1601,1,1500,1,900,2,,2,,
1,31,3111,2,2966,2,"HARVESTING",1300,1,1000,1,800,1,600,2,,
1,31,3113,2,332,2,"HARVESTING",1300,1,350,1,350,1,250,1,10000,
1,31,3113,2,332,3,"TRASHING",1401,1,350,1,350,1,250,1,6000,
1,31,3115,2,680,7,"CARRYN FARM CROPS HOME",1601,1,700,1,700,1,500,2,,
1,31,3115,2,680,8,"HARVESTING",1300,1,700,1,700,1,500,2,,
1,31,3116,2,1344,1,"HARVESTING",1300,1,500,1,400,1,400,1,3000,4000
1,31,3116,2,1344,2,"TRASHING",1401,2,,2,,2,,1,2000,
1,37,3702,1,972,1,"FETCHING WATER",4005,2,,1,400,2,,2,,
1,37,3706,2,6,1,"FETCHING WATER",4005,2,,1,500,2,,2,0,0
1,37,3706,1,156,8,"HEAP MAKING",1405,1,4500,2,,2,,1,45000,15
1,37,3706,1,4144,2,"HARVESTING",1300,1,800,2,,2,,1,8000,100
2,2,201,2,60,1,,9999,1,200,1,200,1,200,1,,
2,2,201,2,60,2,,9999,1,200,1,200,1,200,1,,
2,2,201,2,60,3,,9999,1,500,1,500,1,500,1,,
2,2,201,2,60,4,,9999,1,200,1,200,1,200,1,,
2,2,201,2,60,5,,9999,1,200,1,200,1,200,1,,
2,2,201,2,60,6,,9999,1,200,1,200,1,200,1,,
2,2,201,2,60,7,"HARVESTING",1300,1,200,1,200,1,200,1,,
2,2,203,2,1224,1,,9999,1,100,1,100,1,100,1,300,
2,2,203,2,1224,2,,9999,1,100,1,100,1,100,1,300,
2,2,203,2,1224,3,,9999,1,200,1,200,1,150,1,500,
2,2,203,2,1224,4,,9999,1,100,1,100,1,100,1,300,
2,2,203,2,1224,5,,9999,1,200,1,200,1,150,1,500,
2,2,203,2,1224,6,,9999,1,200,1,200,1,150,1,500,
2,2,203,2,1224,7,,9999,1,2000,1,2000,1,1500,1,3000,
2,2,205,2,712,1,,9999,1,1500,1,1500,1,1500,2,,
2,2,205,2,712,2,,9999,1,700,1,700,1,600,2,,
2,2,205,2,712,3,,9999,1,1000,1,1000,1,1000,2,,
2,2,205,2,712,4,,9999,1,300,1,300,1,200,2,,
2,2,205,2,712,5,,9999,1,1000,1,1000,1,1000,2,,
2,2,205,2,712,6,,9999,1,500,1,500,1,500,2,,
2,2,205,2,712,7,"HARVESTING",1300,1,300,1,300,1,300,2,,
2,2,205,2,712,8,"PICKING",1300,1,500,1,500,1,500,2,,
2,2,207,2,1302,2,,9999,1,800,1,800,2,,1,500,100
2,2,207,2,1302,3,,9999,1,800,1,800,2,,1,1500,200
2,2,207,2,1302,4,,9999,1,800,1,800,2,,1,500,100
2,2,207,2,1302,5,,9999,1,800,1,800,2,,1,500,100
2,2,207,2,1302,6,,9999,1,800,1,800,2,,1,1500,200
2,2,207,2,1302,7,,9999,1,800,1,1000,2,,2,,
2,2,207,2,1302,8,"HERVESTING",1300,1,800,1,800,2,,1,1500,200
2,2,209,2,1040,1,,9999,1,5000,1,5000,1,5000,1,5000,
2,2,209,2,1040,2,"HARVESTING",1300,1,2000,1,2000,1,2000,1,1000,
2,2,209,2,1040,3,"TRANSPORTATION",4001,1,5000,1,5000,1,5000,1,5000,
2,2,210,2,1300,1,,9999,1,1000,1,1000,1,600,1,1000,150
2,2,210,2,1300,2,,9999,1,1000,1,1000,1,600,1,1000,150
2,2,210,2,1300,3,,9999,1,1000,1,1000,1,600,1,1000,150
2,2,210,2,1300,4,,9999,1,3000,1,3000,1,1500,1,4000,700
2,2,210,2,1300,6,,9999,1,600,1,500,1,400,1,1000,150
2,2,210,2,1300,7,,9999,1,600,1,500,1,400,1,1000,150
2,2,210,2,1300,8,"HARVESTING",1300,1,600,1,500,1,400,1,1500,150
2,2,214,2,898,1,,9999,1,600,1,600,2,,1,2500,300
2,2,214,2,898,2,,9999,1,600,1,600,2,,2,,
2,2,214,2,898,3,,9999,1,700,1,700,2,,2,,
2,2,214,2,898,4,,9999,1,1500,1,1500,1,1000,1,3500,500
2,2,214,2,898,5,,9999,1,500,1,200,2,,2,,
2,2,214,2,898,6,,9999,1,700,1,700,2,,2,,
2,2,214,2,898,7,,9999,1,600,1,600,2,,2,,
2,2,214,2,898,8,"HARVESTING",1300,1,600,1,600,2,,1,2500,300
2,2,215,1,8,1,,9999,1,500,1,500,2,,2,,
2,2,215,1,8,2,,9999,1,200,1,200,2,,2,,
2,2,215,1,8,3,,9999,1,800,2,,2,,2,,
2,2,215,1,8,4,,9999,1,200,1,200,2,,2,,
2,2,215,1,8,5,,9999,1,500,1,500,2,,2,,
2,2,215,1,8,6,,9999,1,800,2,,2,,2,,
2,2,215,1,8,7,,9999,1,1000,1,1000,1,800,1,3000,500
2,2,215,1,8,8,"CUTTING RICE",1319,1,800,2,,2,,1,2000,250
2,2,216,2,200,1,,9999,1,1500,2,,2,,1,1500,200
2,2,216,2,200,2,,9999,1,2000,1,2000,1,1000,2,,
2,2,216,2,200,3,,9999,1,1000,1,1000,2,,1,2000,700
2,2,216,2,200,4,,9999,1,300,2,,2,,2,,
2,2,216,2,200,5,"HERVESTING",1300,1,4000,1,4000,2,,1,5000,500
2,2,216,2,200,6,"PESTICIDES",1202,1,1000,2,,2,,1,1600,100
2,2,218,2,1592,1,,9999,1,1000,2,,2,,2,,
2,2,218,2,1592,2,,9999,1,1000,2,,2,,2,,
2,2,218,2,1592,4,,9999,1,500,2,,2,,2,,
2,2,218,2,1592,5,,9999,1,500,2,,2,,2,,
2,2,218,2,1592,6,,9999,1,1000,2,,2,,2,,
2,2,218,2,1592,7,"HARVESTING",1300,1,500,2,,2,,2,,
2,2,221,2,18,4,,9999,1,2000,2,,2,,1,1500,
2,2,221,2,18,6,"HARVEATING",1300,1,3500,2,,2,,1,2000,
2,2,221,2,18,7,"PLOUGH",1102,1,3000,2,,2,,1,1500,
2,5,501,2,60,1,"HARVESTING",1300,1,400,2,,1,200,1,500,10
2,5,502,2,3878,1,"HARVESTING",1300,1,800,2,0,2,,1,700,50
2,5,504,2,708,1,"BUSH CLEARING",1101,1,300,2,,1,150,2,,
2,5,504,2,708,2,"HAVESTING",1300,1,400,2,,1,200,2,,
2,5,504,2,708,3,"PLANTING",,1,300,2,,1,150,2,,
2,5,504,2,708,4,"WEEDING",1201,1,500,2,,1,300,2,,
2,5,506,2,830,1,"HARVESTING",1300,1,300,1,150,1,150,2,,
2,5,506,2,830,2,"THRESHING",1401,1,150,1,150,1,150,2,,
2,5,506,2,830,3,"WINOWING",1401,2,,1,150,2,,2,,
2,5,508,2,718,1,"HARVESTING",1300,1,500,1,300,1,150,2,,
2,5,508,2,718,2,"THRESHING",1401,1,600,1,400,1,150,2,,
2,5,508,2,984,1,"HARVESTING",1300,1,500,2,,2,,2,,
2,5,510,2,1516,1,"Building",2001,1,500,2,,2,,2,,
2,5,510,2,1516,2,"Feching Water",4005,1,100,2,,1,40,2,,
2,5,510,2,1516,3,"Rearing of Lwococe",,2,,2,,1,100,2,,
2,5,513,2,348,1,"HARVESTING",1300,1,500,2,,1,150,1,500,20
2,5,514,2,710,1,"Building",2001,1,1800,2,,2,,2,,
2,5,514,1,2036,1,"Building",2001,1,1000,2,,2,,2,,
2,5,514,1,2036,2,"Labour on parcking goods",,1,750,2,,2,,2,,
2,5,514,1,2036,3,"Water Carriers",4005,1,800,2,,2,,2,,
2,5,515,2,18,1,"Break layer Making",,1,200,2,,2,,2,,
2,5,516,2,942,1,"Building",2001,1,300,2,,2,,2,,
2,5,516,2,942,2,"Fetching Water",4005,1,100,2,,1,50,2,,
2,5,518,2,1304,1,"HARVESTING",1300,,,,,,,,,
2,5,518,2,1588,1,"HARVESTING",1300,1,500,2,,1,200,2,,
2,5,520,2,1756,1,"Bulding Blocks Maker",2002,1,400,2,,2,,2,,
2,8,809,2,1748,1,"REARING ANIMALS",,1,,2,,1,,1,,500
2,8,820,2,1030,1,"BUILDING HOUSES",2001,1,400,2,,2,,1,40000,
2,8,821,1,5062,1,"Building houses",2001,1,600,2,,2,,2,,
2,8,821,1,5062,2,"Digging pot holes",,1,1000,2,,2,,2,,
2,8,821,1,5062,3,"moulding blocks",2002,1,600,2,,2,,2,,
2,15,1502,2,590,1,"BUILDING AND CONSTUCTION",2001,1,400,2,,2,,2,,
2,15,1503,2,634,1,"BUILDING AND CONSTRUCTION",2001,1,1500,2,,1,700,2,,
2,15,1503,2,634,2,"COLLECTION OF FIREWOOD",4007,1,1200,1,800,1,700,2,,
2,15,1503,2,634,3,"COLLECTION OF SAWAGE",3005,1,2,2,,2,,2,,
2,15,1506,1,148,1,"BUILDING AND CONSTRUCTION",2001,1,1500,2,,1,800,2,,
2,15,1506,1,148,2,"CAPENTARY",2003,1,1000,2,,1,500,2,,
2,15,1506,1,148,3,"COLLECTION OF SEWAGE",3005,1,3000,2,,2,,2,,
2,15,1506,1,398,3,"BUILDING AND CONSTRUCTION",2001,1,1500,2,,1,700,1,13000,100
2,15,1506,1,398,4,"ELECTRICIAN LABOUR",2006,1,2000,2,,2,,1,3000,100
2,15,1506,1,398,5,"PLUMBING",2005,1,2000,2,,1,500,1,12000,200
2,15,1506,1,398,6,"SEWAGE DISPOSAL",3005,1,5000,2,,2,,1,10000,100
2,15,1507,2,458,1,"BUILDING AND CONSTRUCTION",2001,1,1500,2,,1,700,2,,
2,15,1508,2,1682,1,"BULIDING AND CONSTRCTION",2001,1,700,2,,2,,2,,
2,15,1510,2,616,1,"BUILDING CONSTRUCTION",2001,1,1000,2,,1,600,2,,
2,15,1511,2,1938,1,"BUILDING AND CONSTRUCTION",2001,1,1500,2,,1,500,2,,
2,15,1511,2,1938,2,"COLLECTION OF REFUSE",3005,1,300,2,,1,100,2,,
2,35,3501,1,702,1,"CROP CUTTING",1300,1,500,2,,1,300,1,2000,50
2,35,3501,1,702,2,"GATHERING THEN HARVEST",1300,1,500,2,,1,300,1,2000,50
2,35,3501,1,702,3,"HARVESTING",1300,1,500,2,,1,300,1,2000,50
2,35,3501,1,702,4,"THINNING AND SUPPLY",,1,500,2,,1,300,1,2000,50
2,35,3501,1,702,5,"THRESHING AND WINNOWING",1401,2,,1,400,2,,,,400
2,35,3501,2,1228,1,,9999,1,,,,,,,,
2,35,3501,2,1228,2,,9999,1,,,,,,,,
