"zone","state","lga","sector","ea","csource_cd","sc4bq5b","sc4bq6","sc4bq7","sc4bq8","sc4bq9","sc4bq10","sc4bq11","sc4bq12","sc4bq13","sc4bq14","sc4bq15","sc4bq16"
1,7,701,2,606,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,701,2,606,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,701,2,606,3,1,2,1,10,20,5000,12,2,10000,24,20,20000
1,7,701,2,606,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,702,2,632,3,1,2,1,12,20,12000,12,5000,55000,12,10000,110000
1,7,705,2,4186,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,705,2,4186,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,705,2,4186,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,705,2,4186,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,707,2,560,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,707,2,560,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,707,2,560,3,1,1,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,708,2,754,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,708,2,754,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,708,2,754,3,1,1,1,3,10,11000,3,5000,55000,3,10000,110000
1,7,708,2,754,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,709,2,1226,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,709,2,1226,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,709,2,1226,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,709,2,1226,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,710,2,2726,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,710,2,2726,2,1,1,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,710,2,2726,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,710,2,2726,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,711,2,2532,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,711,2,2532,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,711,2,2532,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,711,2,2532,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,713,2,304,1,1,2,2,,,,,,,,,
1,7,713,2,304,2,1,2,1,,,,,,,,,
1,7,713,2,304,3,1,2,1,,15,1500,,,,,,
1,7,713,2,304,4,1,2,2,,,,,,,,,
1,7,715,1,294,2,1,2,2,0,0,0,0,0,0,,,
1,7,715,1,294,3,1,2,2,,,,,,,,,
1,7,715,1,294,4,1,2,2,,,,,,,,,
1,7,715,2,780,1,1,2,2,,,,,,,,,
1,7,715,2,780,2,1,2,2,,,,,,,,,
1,7,715,2,780,3,1,2,1,12,10,1000,12,10,5000,12,10,10000
1,7,715,2,780,4,1,2,2,,,,,,,,,
1,7,717,2,1248,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,717,2,1248,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,717,2,1248,3,1,2,1,12,10,1000,12,100,5000,12,10,10000
1,7,717,2,1248,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,718,2,1640,1,1,1,1,10,10,11000,12,10,55000,6,20,120000
1,7,719,1,1612,1,1,2,1,12,2,10500,12,5,5500,12,5,12000
1,7,722,2,234,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,722,2,234,2,1,2,1,18,10,11000,18,5000,55000,18,10000,110000
1,7,722,2,234,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,722,2,234,4,1,2,2,0,0,0,0,0,0,0,0,0
1,7,722,2,892,1,1,2,2,0,0,0,0,0,0,0,0,0
1,7,722,2,892,2,1,2,2,0,0,0,0,0,0,0,0,0
1,7,722,2,892,3,1,2,1,12,10,11000,12,5000,55000,12,10000,110000
1,7,722,2,892,4,1,2,2,0,0,0,0,0,0,0,0,0
1,22,2201,2,422,2,2,,,,,,,,,,,
1,22,2203,2,266,1,1,1,1,12,20,12000,12,4000,54000,12,10000,110000
1,22,2203,2,530,1,1,2,,,,,,,,,,
1,22,2205,2,664,1,1,1,1,12,100,20000,12,50000,100000,12,10000,200000
1,22,2205,2,664,2,2,,,,,,,,,,,
1,22,2205,2,2432,2,2,,,,,,,,,,,
1,22,2209,1,792,1,1,2,1,6,2,102000,1,1000,51000,12,2000,102000
1,22,2209,1,792,2,2,,,,,,,,,,,
1,22,2211,2,594,1,1,2,1,12,0,0,12,0,0,12,0,0
1,22,2211,2,594,2,1,2,2,0,0,0,0,0,0,0,0,0
1,22,2211,1,806,1,1,2,1,12,0,10000,12,0,50000,12,0,100000
1,22,2214,2,1354,2,2,,,,,,,,,,,
1,22,2216,1,428,1,1,2,1,24,10,10100,24,10,55000,24,10,110000
1,22,2216,1,428,2,1,1,1,6,70,17000,6,70,53500,20,50,105000
1,22,2218,2,596,1,1,2,1,3,25,12500,3,12500,62500,,,
1,22,2218,2,596,2,2,,,,,,,,,,,
1,22,2220,1,1296,1,1,2,1,5,5,10500,6,2000,52000,20,4000,104000
1,23,2302,2,1982,1,2,,,,,,,,,,,
1,23,2302,2,1982,2,2,,,,,,,,,,,
1,23,2302,2,1982,3,2,,,,,,,,,,,
1,23,2302,2,1982,4,2,,,,,,,,,,,
1,23,2303,2,2348,1,2,,,,,,,,,,,
1,23,2303,2,2348,2,1,1,1,12,5,10500,12,5,52500,24,5,105000
1,23,2303,2,2348,3,1,2,1,6,0,10000,12,0,50000,24,0,100000
1,23,2303,2,2348,4,2,,,,,,,,,,,
1,23,2304,2,322,1,1,1,1,4,20,12000,12,20,60000,12,20,120000
1,23,2304,2,322,2,1,1,1,4,4,10040,12,4,52000,12,4,102000
1,23,2304,2,322,3,1,2,1,12,0,10000,12,0,50000,0,0,0
1,23,2304,2,322,4,2,,,,,,,,,,,
1,23,2306,1,970,1,1,1,1,6,20,12000,12,20,60000,18,20,120000
1,23,2306,1,970,2,1,1,1,6,4,10400,12,4,52000,24,4,108000
1,23,2306,1,970,3,2,,,,,,,,,,,
1,23,2306,1,970,4,2,,,,,,,,,,,
1,23,2307,1,78,1,1,1,1,12,21,12000,12,21,71000,24,21,142000
1,23,2307,1,78,2,1,1,1,12,21,12000,12,21,71000,24,21,142000
1,23,2307,1,78,3,1,1,1,12,6,10600,18,6,56000,24,6,112000
1,23,2307,1,78,4,2,,,,,,,,,,,
1,23,2307,1,2316,1,1,1,1,12,21,12000,12,21,71000,21,21,142000
1,23,2307,1,2316,2,1,1,1,12,6,10600,12,6,56000,6,6,112000
1,23,2307,1,2316,3,1,,1,1,0,10000,,,,,,
1,23,2307,1,2316,4,1,,2,,2,,,,,,,
1,23,2308,1,556,1,2,,,,,,,,,,,
1,23,2308,1,556,2,2,,,,,,,,,,,
1,23,2308,1,556,3,2,,,,,,,,,,,
1,23,2308,1,556,4,2,,,,,,,,,,,
1,23,2308,1,5180,1,2,,,,,,,,,,,
1,23,2308,1,5180,2,2,,,,,,,,,,,
1,23,2308,1,5180,3,1,2,1,3,,10000,,,,,,
1,23,2308,1,5180,4,2,,,,,,,,,,,
1,23,2309,2,998,1,2,,,,,,,,,,,
1,23,2309,2,998,2,2,,,,,,,,,,,
1,23,2309,2,998,3,2,,,,,,,,,,,
1,23,2309,2,998,4,2,,,,,,,,,,,
1,23,2315,2,924,1,1,1,1,4,10,11000,6,10,55000,12,10,11000
1,23,2315,2,924,2,1,1,1,6,5,10500,12,5,52500,12,5,105000
1,23,2315,2,924,3,1,2,1,6,0,10000,12,0,50000,0,0,0
1,23,2315,2,924,4,2,,,,,,,,,,,
1,23,2316,1,140,1,1,1,1,4,10,11000,18,10,55000,18,10,110000
1,23,2316,1,140,2,1,1,1,6,4,10400,18,10,55000,18,10,110000
1,23,2316,1,140,3,1,2,1,6,0,10000,12,0,50000,24,0,100000
1,23,2316,1,140,4,1,1,1,3,100,20000,12,50,75000,12,50,150000
1,25,2504,2,222,1,2,,,,,,,,,,,
1,25,2504,2,222,2,1,2,1,6,18,11800,12,18,58000,24,18,118000
1,25,2504,2,222,3,1,2,1,2,10,11000,2,10,55000,6,10,110000
1,25,2504,2,222,4,1,2,1,1,10,11000,1,10,55000,1,10,110000
1,25,2507,2,814,1,2,,,,,,,,,,,
1,25,2507,2,814,2,1,1,1,10,10,11000,10,10,55000,10,10,110000
1,25,2507,2,814,3,1,1,1,10,10,11000,10,10,550000,10,10,11000
1,25,2507,2,814,4,1,1,1,10,30,13000,10,30,65000,10,30,130000
1,25,2508,1,2788,1,1,1,1,6,22,2200,12,22,66000,24,22,122000
1,25,2508,1,2788,2,1,2,1,12,10,1000,12,10,55000,18,10,110000
1,25,2508,1,2788,3,1,2,1,12,10,1000,12,10,55000,18,10,110000
1,25,2509,2,248,1,2,,,,,,,,,,,
1,25,2509,2,248,2,1,1,1,3,20,12000,6,20,60000,12,20,120000
1,25,2509,2,248,3,1,2,1,3,50,15000,6,50,75000,12,50,150000
1,25,2509,2,248,4,1,2,1,1,100,20000,6,100,100000,12,100,200000
1,25,2511,2,1424,1,1,1,1,3,28,12800,12,28,64000,12,28,128000
1,25,2511,2,1424,2,1,1,1,3,10,11000,12,10,55000,12,10,110000
1,25,2511,2,1424,3,1,1,1,5,10,11000,12,10,55000,12,10,110000
1,25,2511,2,1424,4,1,1,1,5,20,12000,6,20,60000,6,20,120
1,25,2513,2,128,1,1,2,1,5,10,11000,10,10,55000,18,20,120000
1,25,2513,2,128,2,1,2,1,5,10,11000,10,10,50000,18,10,115000
1,25,2513,2,128,3,1,2,1,5,20,12000,10,20,60000,18,20,120000
1,26,2601,2,822,1,1,2,1,1,,10000,5,,50000,5,,
1,26,2601,2,822,2,,,,,,,,,,,,
1,26,2603,1,658,1,1,1,1,6,9,10900,1,70,53500,12,7,107000
1,26,2603,1,658,2,1,1,1,2,7,10700,6,10,55500,15,10,110000
1,26,2603,1,658,3,1,1,1,12,10,11000,4,,57500,15,15,115000
1,26,2603,1,658,4,1,1,1,12,15,17500,4,,57500,,,
1,26,2603,1,1786,1,1,1,1,3,20,,8,20,,,10,
1,26,2603,1,1786,2,1,2,1,3,15,,,16,,,8,
1,26,2603,1,1786,3,1,2,1,3,,,,,,,,
1,26,2603,1,1786,4,1,2,1,,,,,,,,,
1,26,2605,2,594,1,1,2,2,,,,,,,,,
1,26,2605,2,594,2,1,2,2,,,,,,,,,
1,26,2605,2,594,3,1,2,1,6,0,500,,,,,,
1,26,2606,1,516,1,1,2,1,4,20,4000,20,10000,20000,40,10000,40000
1,26,2606,1,516,2,,,,,,,,,,,,
1,26,2608,2,820,1,1,1,2,,50,,,,,,,
1,26,2608,2,820,2,1,1,2,12,50,,,,,,,
1,26,2608,2,820,3,1,1,,12,20,,,,,,,
1,26,2608,2,820,4,1,2,,,,,,,,,,
1,26,2611,2,424,1,1,1,1,10,,1000,1,0,5000,24,,10000
1,26,2611,2,424,2,1,,,,,,2,,,,,
1,26,2613,2,1462,1,1,2,2,2,2,2,10,25000,75000,10,50000,150000
1,26,2613,2,1462,2,1,2,2,10,50,15000,,,,,,
1,26,2613,2,2248,1,1,2,2,6,,12184,12,9,58000,12,,108000
1,26,2613,2,2248,2,1,2,2,12,,,12,,53000,12,,103000
1,26,2613,2,2248,3,1,2,2,12,,,12,,52000,12,,102000
1,26,2613,2,2248,4,1,2,2,12,,,12,,,,,
1,26,2615,2,2178,2,,,,,,,,,,,,
1,26,2615,2,2196,2,,,,,,,,,,,,
1,26,2616,2,254,1,1,2,2,,,,,,,,,
1,26,2616,2,254,2,1,2,2,,,,,,,,,
1,26,2616,2,254,3,1,1,1,5,,10000,25,,50000,50,,100000
1,26,2616,2,254,4,1,2,2,,,,,,,,,
1,26,2618,2,494,1,1,1,1,6,12,1670,,,,,,
1,26,2618,2,494,2,,,,,,,,,,,,
1,26,2618,2,1276,1,1,2,1,6,0,5000,25,0,12,18,0,50000
1,26,2618,2,1276,2,,,,,,,,,,,,
1,26,2621,2,100,2,,,,,,,,,,,,
1,26,2621,1,940,2,1,,,,,,,,,,,0
1,26,2623,2,1688,1,1,1,1,12,10,1000,1,5000,5000,12,10000,10000
1,26,2623,2,1688,2,1,1,1,12,10,1000,1,5000,5000,12,10000,10000
1,26,2623,2,1688,3,1,1,1,2,,1000,1,,15,30,,30000
1,26,2625,2,926,1,1,2,2,,,,,,,,,
1,26,2625,2,926,2,1,2,2,,,,,,,,,
1,26,2625,2,926,3,1,2,1,6,0,0,12,0,0,,,
1,26,2625,2,926,4,1,2,2,,,,,,,,,
1,31,3101,2,604,2,1,2,2,,0,0,0,0,0,0,0,0
1,31,3101,2,604,3,1,2,1,8,10,11000,8,5000,55000,8,10000,110000
1,31,3101,2,604,4,1,2,2,,0,0,0,0,0,0,0,0
1,31,3103,2,874,1,1,2,2,,,,,,,,,
1,31,3103,2,874,2,1,2,2,,,,,,,,,
1,31,3103,2,874,3,1,1,1,1,10,11000,1,5000,50000,1,10000,110000
1,31,3103,2,874,4,1,2,2,,,,,,,,,
1,31,3105,1,2914,1,1,2,2,,,,,,,,,
1,31,3105,1,2914,2,1,2,2,,,,,,,,,
1,31,3105,1,2914,3,1,2,2,,,,,,,,,
1,31,3105,1,2914,4,1,2,2,,,,,,,,,
1,31,3107,1,724,1,1,1,1,12,18,11800,12,5000,55000,12,18000,118000
1,31,3107,2,1092,1,1,2,2,,,,,,,,,
1,31,3107,2,1092,2,1,2,2,,,,,,,,,
1,31,3107,2,1092,3,1,2,2,,,,,,,,,
1,31,3107,2,1092,4,1,2,1,12,0,10000,12,0,50000,12,0,100000
1,31,3109,2,1026,1,1,2,2,,,,,,,,,
1,31,3109,2,1026,2,1,2,2,,,,,,,,,
1,31,3109,2,1026,3,1,2,1,1,10,11000,1,5000,55000,1,10000,110000
1,31,3109,2,1026,4,1,2,1,1,10,11000,1,5000,55000,1,10000,110000
1,31,3111,2,2966,1,1,2,2,,,,,,,,,
1,31,3111,2,2966,2,1,2,2,,,,,,,,,
1,31,3111,2,2966,3,1,2,2,,,,,,,,,
1,31,3111,2,2966,4,1,2,2,,,,,,,,,
1,31,3112,2,350,1,1,2,2,,,,,,,,,
1,31,3112,2,350,2,1,2,2,,,,,,,,,
1,31,3112,2,350,3,1,1,1,1,10,11000,1,5000,55000,1,10000,110000
1,31,3112,2,350,4,1,1,1,8,20,12000,8,10000,60000,8,20000,120000
1,31,3113,2,332,1,1,2,2,,,,,,,,,
1,31,3113,2,332,2,1,1,1,12,10,11000,10,5000,55000,12,10000,110000
1,31,3113,2,332,3,1,1,1,6,10,11000,6,500,55000,12,,110000
1,31,3113,2,332,4,1,1,1,3,20,12000,3,10000,60000,6,,120000
1,31,3115,2,680,1,1,1,1,12,10,11000,12,5000,55000,12,10000,110000
1,31,3115,2,680,2,1,2,1,10,10,11000,12,5000,55000,12,10000,110000
1,31,3115,2,680,3,1,2,1,6,10,11000,12,5000,55000,12,10000,110000
1,31,3115,2,680,4,1,2,1,6,10,11000,12,5000,55000,12,10000,110000
1,31,3116,2,1344,3,1,2,1,1,10,11000,1,5000,55000,1,10000,110000
1,37,3702,1,972,1,1,2,2,,,,,,,,,
1,37,3702,1,972,2,1,2,2,,,,,,,,,
1,37,3702,1,972,3,1,2,1,5,50,15000,5,50,75000,,,
1,37,3706,2,6,1,2,,,,,,,,,,,
1,37,3706,2,6,2,2,,,,,,,,,,,
1,37,3706,2,6,3,1,2,1,3,6,10600,,,,,,
1,37,3706,2,6,4,2,,,,,,,,,,,
1,37,3706,1,156,1,2,,,,,,,,,,,
1,37,3706,1,156,2,2,,,,,,,,,,,
1,37,3706,1,156,3,1,2,1,2,0,10000,5,0,50000,12,0,100000
1,37,3706,1,156,4,2,,,,,,,,,,,
1,37,3706,1,4144,1,1,1,1,,,,,,,,,
1,37,3706,1,4144,2,1,2,1,12,15,11500,18,15,57500,24,15,115000
1,37,3706,1,4144,3,1,2,1,12,15,11500,18,15,57500,18,15,115000
1,37,3706,1,4144,4,1,2,1,12,20,12000,18,20,60000,18,20,120000
2,2,201,2,60,1,1,2,1,6,10,,6,10,,6,10,
2,2,201,2,60,2,1,2,2,,,,,,,,,
2,2,203,2,1224,2,1,2,2,,,,,,,,,
2,2,205,2,712,1,1,2,2,,,,,,,,,
2,2,205,2,712,2,1,2,2,,,,,,,,,
2,2,207,2,1302,2,1,2,2,,,,,,,,,
2,2,209,2,1040,2,2,,,,,,,,,,,
2,2,210,2,1300,2,1,2,2,,,,,,,,,
2,2,212,2,956,2,1,2,2,,,,,,,,,
2,2,214,2,898,1,1,2,2,,,,6,20,,,,
2,2,214,2,898,2,1,2,2,,,,,,,,,
2,2,215,1,8,1,1,2,1,3,10,4000,12,1000,5000,12,1000,4200
2,2,215,1,8,2,1,2,2,,,,,,,,,
2,2,216,2,200,1,1,1,1,1,10,11000,1,5000,55000,1,10000,110000
2,2,216,2,200,2,1,2,2,,,,,,,,,
2,2,218,2,1592,2,1,2,2,,,,,,,,,
2,2,221,2,18,2,1,2,2,,,,,,,,,
2,5,501,2,60,1,1,1,2,5,12,11200,12,1200,56000,12,1200,120000
2,5,501,2,60,2,1,2,1,8,10,11000,18,1000,56000,12,1000,110000
2,5,501,2,60,3,1,2,1,3,0,10000,6,0,55000,18,0,100000
2,5,501,2,60,4,1,,,,,,,,,,,
2,5,502,1,2194,1,1,1,1,6,11,11100,18,12,56000,18,12,112000
2,5,502,1,2194,2,1,1,1,12,10,11000,12,10,55000,24,10,110000
2,5,502,1,2194,3,1,2,1,3,15,11500,5,0,50000,6,0,100000
2,5,502,1,2194,4,1,2,1,3,15,11500,6,20,60000,12,20,12000
2,5,502,2,3878,1,1,,2,,,,,,,,,
2,5,502,2,3878,2,1,2,1,6,12,12000,12,12,56000,18,20,120000
2,5,502,2,3878,3,1,2,1,3,0,10000,,,,,,
2,5,504,2,708,1,1,2,1,4,1,12000,4,12,60000,10,122,102000
2,5,506,2,830,1,2,,,,,,,,,,,
2,5,506,2,830,2,1,2,1,18,20,12000,18,20,60000,24,20,120000
2,5,508,2,718,1,1,1,1,3,20,12000,8,2000,60000,12,2000,120000
2,5,508,2,718,2,1,1,1,10,10,11000,12,1000,55000,24,1000,110000
2,5,508,2,718,3,1,2,2,,,,,,,,,
2,5,508,2,718,4,1,2,2,,,,,,,,,
2,5,508,2,984,4,1,2,1,2,0,5000,2,2,2500,0,0,0
2,5,510,2,1516,1,1,2,2,,,,2,,,,,
2,5,510,2,1516,2,1,2,2,,,,2,,,,,
2,5,510,2,1516,3,1,2,2,,,,2,,,,,
2,5,514,2,710,1,1,2,2,,,,,,,,,
2,5,514,2,710,2,1,2,2,,,,,,,,,
2,5,514,2,710,3,1,1,1,,,,,,,,,
2,5,514,2,710,4,1,1,1,,,,,,,,,
2,5,514,1,2036,1,1,2,2,,,,,,,,,
2,5,514,1,2036,2,1,2,2,,,,,,,,,
2,5,514,1,2036,3,1,2,1,,,,,,,,,
2,5,514,1,2036,4,1,2,2,,,,,,,,,
2,5,515,2,18,1,1,2,1,,,,,,,,,
2,5,515,2,18,2,1,2,2,,,,,,,,,
2,5,516,2,942,1,1,2,1,,,,,,,,,
2,5,516,2,942,2,1,2,,,,,,,,,,
2,5,518,2,1304,1,2,,,,,,,,,,,
2,5,518,2,1304,2,2,,,,,,,,,,,
2,5,518,2,1304,3,1,,,,,,,,,,,
2,5,518,2,1304,4,2,,,,,,,,,,,
2,5,518,2,1588,1,1,1,2,,,,12,,,12,,
2,5,518,2,1588,2,1,1,2,12,,,,,,,,
2,5,518,2,1588,3,1,2,1,5,0,10000,5,0,50000,5,0,100000
2,5,518,2,1588,4,1,1,2,6,0,10000,,0,50000,12,0,100000
2,5,520,2,1756,1,1,2,2,,,,,,,,,
2,5,520,2,1756,2,1,2,2,,,,,,,,,
2,5,520,2,1756,3,1,1,1,,,,,,,,,
2,5,520,2,1756,4,1,1,1,,,,,,,,,
2,8,809,2,1748,2,,,,,,,,,,,,
2,8,816,2,1270,2,,,,,,,,,,,,
2,8,820,2,1030,2,,,,,,,,,,,,
2,8,821,1,1448,2,,,,,,,,,,,,
2,8,821,1,5062,1,1,1,1,6,20,12000,24,20,60000,24,20,120000
2,15,1502,2,590,1,1,1,,,,10000,,,,,,
2,15,1503,2,634,1,2,,,,,,,,,,,
2,15,1503,2,634,2,1,1,1,12,30,13000,12,25000,75000,24,35000,135000
2,15,1503,2,634,3,1,1,1,1,10,11000,,,,,,
2,15,1503,2,634,4,1,2,1,2,40,14000,6,20000,70000,,,
2,15,1506,1,148,1,1,1,1,12,20,12000,12,10000,60000,12,20000,120000
2,15,1506,1,148,2,1,2,1,6,10,11000,12,5000,55000,12,10000,110000
2,15,1506,1,148,3,1,2,1,1,5,10500,,,,,,
2,15,1506,1,148,4,1,2,1,1,20,12000,,,,,,
