"zone","state","lga","sector","ea","hhid","source_cd","source_desc","sa5bq1","sa5bq2a","sa5bq2b","sa5bq2c","sa5bq2d","sa5bq3","sa5bq4","sa5bq5","sa5bq6","sa5bq7","sa5bq8","sa5bq9"
4,1,105,2,0,10009,1,"Government Agricultu","X",2,,,,2,2,0,,2,,1
4,1,107,2,1044,10061,11,"Peer Farmer (Neighbo","X",1,2,,,2,2,0,,2,,1
4,1,107,2,1044,10062,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
2,2,221,2,18,20012,11,"Peer Farmer (Neighbo","X",1,3,,,2,1,2,,1,0,1
2,2,221,2,18,20013,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
2,2,221,2,18,20016,11,"Peer Farmer (Neighbo","X",1,3,,,2,1,2,,2,,1
2,2,221,2,18,20020,12,"Electronic Media (TV","X",3,4,5,6,,,,,,,
2,2,201,2,60,20023,10,"Lead Farmer","X",1,5,6,10,3,3,2,,1,0,1
2,2,201,2,60,20027,1,"Government Agricultu","X",4,5,7,8,4,4,0,,2,,1
2,2,201,2,60,20030,10,"Lead Farmer","X",1,2,5,,1,1,1,,2,,1
2,2,216,2,200,20037,10,"Lead Farmer","X",2,5,11,12,2,1,2,,2,,1
2,2,203,2,1224,20043,2,"Private Agricultural","X",1,2,,,2,2,1,,2,,1
2,2,203,2,1224,20047,10,"Lead Farmer","X",1,,,,1,1,1,,2,,1
2,2,212,2,956,20051,10,"Lead Farmer","X",1,,,,0,,1,,2,,1
2,2,212,2,956,20052,10,"Lead Farmer","X",1,,,,1,1,1,,2,,1
2,2,212,2,956,20058,1,"Government Agricultu","X",1,,,,1,1,2,,1,1200,1
2,2,210,2,1300,20062,10,"Lead Farmer","X",1,2,3,4,1,1,2,,1,1200,2
2,2,214,2,898,20077,1,"Government Agricultu","X",1,,,,1,1,1,,2,,1
2,2,215,1,8,20081,10,"Lead Farmer","X",1,2,4,,1,1,1,,2,,1
2,2,215,1,8,20085,12,"Electronic Media (TV","X",2,10,11,12,,,,,,,
2,2,207,2,1302,20097,10,"Lead Farmer","X",1,2,3,4,1,1,2,,1,200,1
2,2,205,2,712,20101,10,"Lead Farmer","X",1,2,3,5,1,1,1,,1,200,1
2,2,205,2,712,20107,12,"Electronic Media (TV","X",1,2,3,,,,,,,,
2,2,218,2,1592,20113,10,"Lead Farmer","X",1,4,,,3,2,2,,1,500,1
2,2,218,2,1592,20117,10,"Lead Farmer","X",5,9,11,12,1,2,1,,2,,1
5,3,316,2,874,30021,1,"Government Agricultu","X",2,,,,0,,3,,2,,1
4,4,414,1,2176,40033,11,"Peer Farmer (Neighbo","X",2,,,,1,0,1,,2,,1
4,4,415,1,2108,40042,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
4,4,415,1,2108,40043,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
4,4,415,1,2108,40045,11,"Peer Farmer (Neighbo","X",2,,,,3,3,2,,2,,1
4,4,412,2,1606,40117,11,"Peer Farmer (Neighbo","X",2,,,,1,0,0,,2,,1
4,4,410,2,4036,40124,10,"Lead Farmer","X",4,,,,1,0,1,,2,,1
4,4,410,2,4036,40124,11,"Peer Farmer (Neighbo","X",4,,,,1,0,1,,2,,1
4,4,411,1,1486,40184,11,"Peer Farmer (Neighbo","X",2,,,,2,0,0,,2,,1
4,4,411,1,1486,40189,11,"Peer Farmer (Neighbo","X",2,,,,1,0,1,,2,,1
4,4,403,2,836,40220,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
2,5,501,2,60,50079,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
2,5,508,2,718,50118,11,"Peer Farmer (Neighbo","X",3,,,,1,0,0,,2,,1
1,7,717,2,1248,70097,11,"Peer Farmer (Neighbo","X",1,,,,2,0,0,,2,,1
2,8,812,2,866,80085,2,"Private Agricultural","X",1,2,,,1,0,1,,2,,1
2,8,820,2,1030,80141,11,"Peer Farmer (Neighbo",,,,,,,,,,,,
5,9,918,2,834,90093,1,"Government Agricultu","X",1,,,,3,0,0,,2,,1
4,11,1112,2,1952,110011,11,"Peer Farmer (Neighbo","X",1,,,,4,0,0,,2,,1
4,11,1112,2,1952,110012,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
4,11,1112,2,1952,110013,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
4,11,1112,2,1952,110014,11,"Peer Farmer (Neighbo","X",2,1,,,2,0,0,,2,,1
4,11,1112,2,1952,110015,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,2,,2,,1
4,11,1112,2,78,110025,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
4,11,1112,2,78,110028,11,"Peer Farmer (Neighbo","X",1,,,,2,0,1,,2,,1
4,11,1112,2,78,110030,11,"Peer Farmer (Neighbo","X",2,5,,,3,0,0,,2,,1
4,11,1110,2,714,110033,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
4,11,1110,2,2752,110042,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,0,,2,,1
4,11,1110,2,2752,110043,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,0,,2,,1
4,11,1108,2,492,110055,11,"Peer Farmer (Neighbo","X",1,2,,,3,0,0,,2,,1
4,11,1105,2,100,110061,11,"Peer Farmer (Neighbo","X",1,2,,,3,0,0,,2,,1
4,11,1105,2,100,110064,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,0,,2,,1
4,11,1105,2,100,110065,11,"Peer Farmer (Neighbo","X",1,2,,,3,0,0,,2,,1
4,11,1106,2,446,110072,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,0,,2,,1
4,11,1106,2,446,110074,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,0,,2,,1
4,11,1104,2,434,110086,11,"Peer Farmer (Neighbo","X",1,,,,1,1,3,,2,,1
4,11,1104,2,434,110089,11,"Peer Farmer (Neighbo","X",1,,,,2,1,0,,2,,1
4,11,1107,2,1034,110096,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
4,11,1107,2,1034,110097,11,"Peer Farmer (Neighbo","X",1,2,,,2,1,0,,2,,1
4,11,1109,2,672,110101,11,"Peer Farmer (Neighbo","X",1,,,,2,0,0,,2,,1
4,11,1109,2,672,110103,11,"Peer Farmer (Neighbo","X",1,2,,,3,0,0,,2,,1
4,11,1113,2,954,110112,11,"Peer Farmer (Neighbo","X",1,5,,,3,0,0,,2,,1
4,11,1113,2,954,110118,11,"Peer Farmer (Neighbo","X",1,2,3,,5,0,0,,2,,1
4,11,1113,2,954,110120,11,"Peer Farmer (Neighbo","X",1,2,,,4,0,0,,2,,1
4,11,1102,2,936,110125,11,"Peer Farmer (Neighbo","X",1,,,,2,0,2,,2,,1
4,11,1101,2,154,110137,11,"Peer Farmer (Neighbo","X",1,,,,0,,3,,2,,2
5,12,1210,2,462,120064,2,"Private Agricultural","X",1,,,,1,0,1,,2,,2
5,12,1204,2,736,120073,5,"Agricultural Coopera","X",1,,,,1,0,1,,2,,1
6,13,1303,1,626,130034,1,"Government Agricultu","X",1,,,,2,0,0,,2,,1
4,14,1401,2,1116,140004,11,"Peer Farmer (Neighbo",,,,,,,,,,,,
4,14,1401,2,1116,140004,14,"Other (Specify)","X",1,,,,0,,0,0,2,,1
4,14,1406,2,694,140063,11,"Peer Farmer (Neighbo",,,,,,,,,,,,
4,14,1406,2,694,140063,14,"Other (Specify)","X",,,,,0,,0,0,2,,1
4,14,1406,2,694,140065,11,"Peer Farmer (Neighbo",,,,,,,,,,,,
4,14,1406,2,694,140065,14,"Other (Specify)","X",1,2,,,0,,0,0,2,,1
4,14,1413,2,670,140072,11,"Peer Farmer (Neighbo","X",3,,,,0,,0,,2,,1
4,14,1413,2,670,140074,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
4,14,1411,2,1066,140113,11,"Peer Farmer (Neighbo",,,,,,,,,,,,
4,14,1411,2,1066,140113,14,"Other (Specify)","X",1,,,,0,,0,0,2,,1
2,15,1506,1,398,150007,1,"Government Agricultu","X",1,,,,0,,2,,2,,2
2,15,1507,2,458,150056,11,"Peer Farmer (Neighbo","X",1,2,,,0,,3,,2,,1
4,16,1616,2,296,160066,1,"Government Agricultu","X",2,,,,3,0,0,,2,,1
4,16,1616,2,296,160067,1,"Government Agricultu","X",1,,,,5,0,0,,2,,2
4,16,1605,2,180,160150,1,"Government Agricultu","X",1,,,,1,0,1,,2,,1
4,16,1605,2,180,160150,9,"Agricultural Extensi","X",1,,,,,,,1,2,,1
3,17,1706,2,284,170003,2,"Private Agricultural","X",1,,,,1,1,1,,1,4000,1
3,17,1719,2,1354,170011,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1719,2,1354,170016,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1704,2,0,170025,2,"Private Agricultural","X",1,,,,1,1,1,,1,2000,1
3,17,1704,2,1080,170028,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1704,2,1080,170029,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1715,2,2244,170056,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1715,2,2244,170059,2,"Private Agricultural","X",1,,,,1,1,1,,1,4000,1
3,17,1715,2,2244,170060,8,"Village Agricultural","X",1,,,,,,,0,2,,1
3,17,1710,2,546,170063,8,"Village Agricultural","X",1,3,4,,,,,2,2,,1
3,17,1710,2,546,170064,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1716,2,1452,170085,2,"Private Agricultural","X",1,,,,1,1,1,,1,700,1
3,17,1716,2,1452,170088,8,"Village Agricultural","X",12,,,,,,,2,2,,1
3,17,1716,2,1452,170090,8,"Village Agricultural","X",1,,,,,,,2,2,,1
3,17,1712,2,794,170112,2,"Private Agricultural","X",1,,,,1,1,1,,1,1000,1
3,18,1803,2,840,180032,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
3,18,1803,2,840,180033,11,"Peer Farmer (Neighbo","X",1,,,,5,2,2,,2,,1
3,18,1803,2,840,180036,1,"Government Agricultu","X",1,,,,2,0,0,,1,0,3
3,18,1803,2,840,180038,1,"Government Agricultu","X",1,,,,0,,0,,2,,1
3,18,1803,2,840,180038,10,"Lead Farmer","X",1,,,,1,0,0,,2,,1
3,18,1803,2,840,180038,11,"Peer Farmer (Neighbo","X",1,,,,3,2,2,,2,,1
3,18,1803,2,0,180040,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
3,18,1816,1,378,180044,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
3,18,1816,1,378,180046,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,3
3,18,1816,1,378,180047,11,"Peer Farmer (Neighbo","X",1,,,,10,0,0,,2,,2
3,18,1805,2,534,180057,11,"Peer Farmer (Neighbo","X",1,,,,1,0,1,,2,,1
3,18,1805,2,534,180058,11,"Peer Farmer (Neighbo","X",1,,,,1,0,2,,2,,1
3,18,1805,2,534,180059,11,"Peer Farmer (Neighbo","X",1,,,,10,0,0,,2,,2
3,18,1805,2,534,180060,11,"Peer Farmer (Neighbo","X",1,,,,0,,12,,2,,1
3,18,1817,2,370,180061,14,"Other (Specify)","X",1,,,,2,0,0,0,2,,2
3,18,1817,2,370,180064,11,"Peer Farmer (Neighbo","X",1,2,,,0,,5,,2,,3
3,18,1817,2,370,180065,11,"Peer Farmer (Neighbo","X",1,,,,4,0,2,,2,,1
3,18,1817,2,370,180065,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,18,1817,2,370,180067,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
3,18,1817,2,370,180068,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,2
3,18,1817,2,370,180070,2,"Private Agricultural",,,,,,,,,,,,
3,18,1817,2,370,180070,4,"NGO","X",1,,,,1,1,1,,2,,2
3,18,1808,2,1726,180071,1,"Government Agricultu","X",1,,,,2,0,0,,2,,2
3,18,1808,2,1726,180072,11,"Peer Farmer (Neighbo","X",1,,,,2,0,0,,2,,2
3,18,1808,2,1726,180073,1,"Government Agricultu","X",1,4,5,6,2,0,0,,1,500,2
3,18,1808,2,1726,180077,11,"Peer Farmer (Neighbo","X",1,,,,15,0,0,,2,,1
3,18,1808,2,1726,180079,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
3,18,1808,2,1726,180080,11,"Peer Farmer (Neighbo","X",1,4,,,1,1,1,,2,,1
3,18,1811,2,364,180081,11,"Peer Farmer (Neighbo","X",1,,,,0,,2,,2,,4
3,18,1811,2,364,180083,11,"Peer Farmer (Neighbo","X",1,2,,,16,6,2,,2,,1
3,18,1811,2,364,180084,11,"Peer Farmer (Neighbo","X",1,5,,,5,0,0,,2,,2
3,18,1811,2,364,180087,11,"Peer Farmer (Neighbo","X",1,,,,6,0,0,,2,,1
3,18,1820,2,450,180091,11,"Peer Farmer (Neighbo","X",1,,,,0,,0,,2,,1
3,18,1820,2,450,180093,2,"Private Agricultural","X",1,,,,1,0,0,,2,,2
3,18,1822,2,1654,180101,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
3,18,1822,2,1654,180105,2,"Private Agricultural","X",1,,,,1,0,0,,2,,1
3,18,1822,2,1654,180105,11,"Peer Farmer (Neighbo","X",1,,,,2,0,0,,2,,1
3,18,1822,2,1654,180106,1,"Government Agricultu","X",6,,,,0,,1,,2,,2
3,18,1822,2,1654,180106,11,"Peer Farmer (Neighbo","X",1,6,,,0,,4,,2,,2
3,18,1822,2,1654,180106,12,"Electronic Media (TV","X",6,,,,,,,,,,
3,18,1817,2,0,180110,2,"Private Agricultural","X",1,,,,2,0,0,,2,,1
3,18,1814,2,678,180111,11,"Peer Farmer (Neighbo","X",1,,,,5,0,0,,2,,1
3,18,1814,2,678,180112,11,"Peer Farmer (Neighbo","X",1,,,,3,1,2,,2,,2
3,18,1814,2,678,180112,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,18,1814,2,0,180118,11,"Peer Farmer (Neighbo","X",1,,,,10,0,0,,2,,1
3,18,1814,2,0,180120,11,"Peer Farmer (Neighbo","X",1,2,,,2,0,0,,2,,1
3,19,1943,2,668,190026,10,"Lead Farmer","X",1,,,,3,0,1,,2,,1
3,19,1943,2,668,190026,11,"Peer Farmer (Neighbo","X",1,,,,3,0,1,,2,,1
3,19,1916,2,1516,190032,10,"Lead Farmer","X",1,,,,2,0,1,,2,,1
3,19,1916,2,1516,190032,11,"Peer Farmer (Neighbo","X",1,,,,3,0,1,,2,,1
3,19,1901,2,640,190050,10,"Lead Farmer","X",1,,,,2,0,1,,2,,1
3,19,1901,2,640,190050,11,"Peer Farmer (Neighbo","X",1,,,,3,0,1,,2,,1
3,36,3611,2,0,190052,8,"Village Agricultural","X",1,,,,,,,0,2,,1
3,19,1937,2,432,190056,10,"Lead Farmer","X",1,,,,3,0,1,,2,,1
3,19,1937,2,432,190056,11,"Peer Farmer (Neighbo","X",1,,,,3,0,1,,2,,1
3,19,1936,2,1994,190069,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
3,19,1936,2,1994,190070,10,"Lead Farmer","X",3,,,,0,,1,,2,,1
3,19,1936,2,1994,190070,11,"Peer Farmer (Neighbo","X",3,,,,0,,1,,2,,1
3,19,1902,2,52,190076,10,"Lead Farmer","X",2,,,,0,,0,,2,,2
3,19,1902,2,52,190076,11,"Peer Farmer (Neighbo","X",2,,,,0,,0,,2,,1
3,19,1914,2,934,190083,10,"Lead Farmer","X",1,,,,2,0,2,,2,,1
3,19,1914,2,934,190083,14,"Other (Specify)",,,,,,,,,,,,
3,19,1914,2,934,190087,11,"Peer Farmer (Neighbo","X",3,,,,1,1,0,,1,500,1
3,19,1914,2,934,190089,2,"Private Agricultural",,,,,,,,,,,,
3,19,1914,2,934,190089,5,"Agricultural Coopera","X",1,,,,2,,0,,2,,1
3,19,1914,2,934,190089,10,"Lead Farmer","X",1,,,,2,,0,,2,,1
3,19,1914,2,934,190089,14,"Other (Specify)",,,,,,,,,,,,
3,19,1941,2,518,190096,10,"Lead Farmer","X",1,,,,2,0,1,,2,,1
3,19,1941,2,518,190096,11,"Peer Farmer (Neighbo","X",1,,,,3,0,1,,2,,1
3,20,2032,1,1390,200051,5,"Agricultural Coopera","X",1,,,,0,,5,,2,,1
3,20,2032,1,1390,200052,11,"Peer Farmer (Neighbo","X",1,3,,,0,,6,,2,,1
3,20,2032,1,1390,200056,1,"Government Agricultu","X",1,,,,1,1,1,,1,0,1
3,20,2001,2,1354,200097,5,"Agricultural Coopera","X",1,,,,3,1,0,,2,,1
3,20,2001,2,1354,200097,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,20,2001,2,1354,200100,1,"Government Agricultu","X",1,,,,1,1,1,,2,,1
3,20,2001,2,1354,200100,2,"Private Agricultural","X",1,4,,,2,1,0,,2,,1
3,20,2025,2,760,200101,2,"Private Agricultural","X",1,,,,2,,1,,2,,2
3,20,2025,2,760,200104,12,"Electronic Media (TV","X",,,,,,,,,,,
3,20,2025,2,760,200105,2,"Private Agricultural","X",4,,,,2,0,1,,2,,2
3,20,2025,2,760,200105,8,"Village Agricultural","X",1,,,,,,,,2,,1
3,20,2025,2,760,200106,2,"Private Agricultural","X",1,,,,2,2,2,,1,,1
3,20,2025,2,760,200107,11,"Peer Farmer (Neighbo","X",2,,,,0,,3,,2,,1
3,20,2025,2,760,200110,2,"Private Agricultural","X",1,,,,1,1,1,,2,,2
3,20,2025,2,760,200110,5,"Agricultural Coopera",,,,,,,,,,,,
3,20,2025,2,1304,200113,2,"Private Agricultural","X",1,,,,2,2,1,,2,,1
3,20,2008,2,1474,200146,2,"Private Agricultural","X",1,3,,,2,1,0,,1,0,1
3,20,2013,2,1232,200152,2,"Private Agricultural","X",1,,,,1,0,0,,2,,1
3,20,2013,2,1232,200159,2,"Private Agricultural","X",1,,,,3,1,0,,1,1500,1
3,20,2028,2,498,200165,2,"Private Agricultural","X",1,,,,1,1,2,,2,,1
3,20,2012,1,844,200181,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,20,2012,1,844,200187,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,21,2106,2,236,210018,1,"Government Agricultu","X",1,,,,2,0,0,,1,1000,1
3,21,2109,2,38,210027,10,"Lead Farmer","X",1,,,,0,,0,,2,,1
3,21,2109,2,38,210030,11,"Peer Farmer (Neighbo","X",1,,,,1,0,1,,2,,1
1,23,2309,2,998,230069,12,"Electronic Media (TV","X",1,2,,,,,,,,,
1,23,2316,1,140,230106,12,"Electronic Media (TV","X",1,2,,,,,,,,,
1,23,2303,2,2348,230112,11,"Peer Farmer (Neighbo","X",1,,,,2,0,2,,2,,2
1,23,2303,2,2348,230116,12,"Electronic Media (TV","X",1,,,,,,,,,,
1,23,2303,2,2348,230118,12,"Electronic Media (TV","X",1,2,6,,,,,,,,
1,23,2303,2,2348,230120,12,"Electronic Media (TV","X",1,,,,,,,,,,
6,24,2407,2,396,240161,4,"NGO","X",1,,,,0,,1,,2,,1
1,25,2508,1,2788,250008,11,"Peer Farmer (Neighbo","X",5,,,,2,0,2,,2,,1
1,25,2508,1,2788,250008,12,"Electronic Media (TV","X",5,,,,,,,,,,
1,25,2504,2,0,250013,11,"Peer Farmer (Neighbo","X",1,2,,,4,3,4,,2,,1
1,25,2504,2,0,250013,12,"Electronic Media (TV","X",1,2,,,,,,,,,
1,25,2504,2,0,250013,13,"Paper Media (Handout","X",1,2,,,,,,,,,
1,25,2504,2,222,250015,11,"Peer Farmer (Neighbo","X",1,2,,,20,14,12,,2,,1
1,25,2504,2,222,250016,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
1,25,2504,2,222,250017,11,"Peer Farmer (Neighbo","X",1,,,,20,18,10,,2,,1
1,25,2504,2,222,250018,11,"Peer Farmer (Neighbo","X",1,,,,10,8,6,,2,,1
1,25,2504,2,222,250020,12,"Electronic Media (TV","X",1,,,,,,,,,,
1,25,2509,2,248,250023,11,"Peer Farmer (Neighbo","X",1,,,,0,,1,,2,,1
1,25,2509,2,248,250025,11,"Peer Farmer (Neighbo","X",1,2,6,11,11,7,8,,2,,1
1,25,2509,2,248,250026,11,"Peer Farmer (Neighbo","X",1,,,,1,0,0,,2,,1
1,25,2509,2,248,250027,11,"Peer Farmer (Neighbo","X",1,,,,10,6,4,,2,,1
1,25,2509,2,248,250030,11,"Peer Farmer (Neighbo","X",1,,,,1,0,1,,2,,1
1,25,2507,2,814,250034,11,"Peer Farmer (Neighbo","X",1,,,,4,2,2,,2,,1
1,25,2507,2,814,250037,11,"Peer Farmer (Neighbo","X",2,,,,2,0,2,,2,,1
1,25,2507,2,814,250037,12,"Electronic Media (TV","X",2,,,,,,,,,,
1,25,2507,2,814,250038,11,"Peer Farmer (Neighbo","X",1,3,4,8,11,3,6,,2,,2
1,25,2507,2,814,250039,11,"Peer Farmer (Neighbo","X",1,4,,,10,6,4,,2,,1
1,25,2507,2,814,250040,11,"Peer Farmer (Neighbo","X",1,5,6,,1,1,1,,2,,1
1,25,2513,2,128,250042,10,"Lead Farmer","X",1,4,5,,2,1,2,,2,,2
1,25,2513,2,128,250044,11,"Peer Farmer (Neighbo","X",1,2,,,0,,10,,2,,2
1,25,2513,2,128,250046,10,"Lead Farmer","X",1,2,,,4,4,5,,2,,1
1,25,2513,2,128,250046,11,"Peer Farmer (Neighbo","X",1,2,,,6,6,4,,2,,1
1,25,2513,2,128,250048,11,"Peer Farmer (Neighbo","X",3,,,,2,0,2,,2,,2
1,25,2513,2,128,250049,10,"Lead Farmer","X",1,2,,,0,,2,,2,,1
1,25,2513,2,128,250049,11,"Peer Farmer (Neighbo","X",1,2,,,0,,4,,2,,2
1,25,2502,2,728,250054,8,"Village Agricultural","X",1,,,,,,,4,2,,2
1,25,2502,2,728,250056,10,"Lead Farmer","X",1,,,,6,6,4,,2,,1
1,25,2502,2,728,250056,11,"Peer Farmer (Neighbo","X",1,,,,10,10,2,,2,,1
1,25,2502,2,728,250059,8,"Village Agricultural","X",1,,,,,,,4,2,,1
1,25,2502,2,728,250059,10,"Lead Farmer","X",1,,,,5,5,5,,2,,1
1,25,2502,2,728,250059,11,"Peer Farmer (Neighbo","X",1,,,,10,10,9,,2,,1
1,25,2511,2,1424,250062,10,"Lead Farmer","X",1,,,,4,0,0,,2,,1
1,25,2511,2,1424,250062,11,"Peer Farmer (Neighbo","X",1,,,,6,0,0,,2,,1
1,25,2511,2,1424,250062,12,"Electronic Media (TV","X",1,,,,,,,,,,
1,25,2511,2,1424,250063,10,"Lead Farmer","X",1,,,,0,,1,,2,,1
1,25,2511,2,1424,250063,11,"Peer Farmer (Neighbo","X",1,,,,0,,1,,2,,1
1,25,2511,2,1424,250063,12,"Electronic Media (TV","X",1,,,,,,,,,,
3,33,3304,2,0,250069,11,"Peer Farmer (Neighbo","X",1,,,,3,1,2,,2,,1
1,26,2605,2,594,260091,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2605,2,594,260093,11,"Peer Farmer (Neighbo","X",1,,,,3,0,3,,2,,1
1,26,2605,2,594,260096,1,"Government Agricultu","X",1,4,,,0,,0,,2,,1
1,26,2605,2,594,260096,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
1,26,2603,1,1786,260109,11,"Peer Farmer (Neighbo","X",1,,,,2,0,1,,2,,1
1,26,2613,2,2248,260121,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2613,2,2248,260125,1,"Government Agricultu","X",1,3,,,0,,2,,2,,1
1,26,2613,2,2248,260126,11,"Peer Farmer (Neighbo","X",1,,,,1,1,1,,2,,1
1,26,2613,2,2248,260129,11,"Peer Farmer (Neighbo","X",3,2,,,1,0,1,,2,,1
1,26,2613,2,2248,260130,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2608,2,820,260132,1,"Government Agricultu","X",1,,,,0,,2,,2,,1
1,26,2608,2,820,260133,11,"Peer Farmer (Neighbo","X",1,,,,1,0,2,,2,,1
1,26,2608,2,820,260138,1,"Government Agricultu","X",2,,,,2,0,2,,2,,1
1,26,2608,2,820,260140,1,"Government Agricultu","X",7,,,,0,,3,,2,,1
1,26,2601,2,822,260144,2,"Private Agricultural","X",1,,,,0,,2,,2,,1
1,26,2601,2,822,260144,11,"Peer Farmer (Neighbo","X",1,,,,3,0,0,,2,,1
1,26,2601,2,822,260147,11,"Peer Farmer (Neighbo","X",2,,,,0,,2,,2,,1
1,26,2601,2,822,260150,2,"Private Agricultural","X",1,,,,0,,4,,2,,1
