"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
5,12,1203,1,334,129023,2,3210,1,9,2018,1,5,,1,10,2018,3,90,,2,,11.3050003051758,69000
5,12,1207,1,144,129025,1,3020,2,,,,,,,,,,,,,,,
5,12,1207,1,144,129025,2,3020,2,,,,,,,,,,,,,,,
5,12,1207,1,144,129028,4,3020,2,,,,,,,,,,,,,,,
5,12,1207,1,144,129034,2,3020,2,,,,,,,,,,,,,,,
5,12,1208,2,76,129039,1,3040,1,4,2018,1,2,,2,,,5,130,,11,2,50,157500
5,12,1208,2,76,129043,2,3040,1,3,2018,1,4,,1,5,2018,1,130,,10,1,25,4000
5,12,1208,2,76,129043,3,3170,1,10,2018,1,4,,1,11,2018,1,130,,11,,50,1500
5,12,1208,2,76,129044,1,3040,1,12,2018,2,,,2,,,2,130,,12,2,100,70000
5,12,1208,2,76,129044,5,3190,2,,,,,,,,,,,,,,,
5,12,1209,1,226,129072,2,3190,1,10,2018,2,,,1,10,2018,10,11,,,,,30000
5,12,1212,1,2598,129117,1,3180,2,,,,,,,,,,,,,,,
5,12,1215,2,810,129122,2,2170,1,8,2018,2,,,1,12,2018,5,110,,2,,7.96500015258789,1400
5,12,1216,1,694,129136,2,3020,2,,,,,,,,,,,,,,,
5,12,1216,1,694,129136,3,3180,1,7,2018,2,,,2,,,180,100,,1,,25,45000
5,12,1218,1,196,129145,4,2170,1,11,2018,2,,,1,12,2018,300,110,,1,,5.1399998664856,150000
5,12,1218,1,196,129154,1,2170,1,11,2018,2,,,1,12,2018,200,110,,1,,5.1399998664856,100000
6,13,1307,1,268,130025,2,3040,1,8,2018,1,1,,2,,,20,130,,11,2,50,600000
6,13,1307,1,268,130025,5,2170,1,6,2018,2,,,2,,,25,110,,1,,5.1399998664856,20000
6,13,1303,1,626,130033,2,2030,2,,,,,,,,,,,,,,,
6,13,1303,1,626,130033,2,3210,1,12,2018,2,,,2,,,5,80,,0,,1.12000000476837,250
6,13,1303,1,626,130034,1,3040,1,12,2018,2,,,2,,,3,130,,11,2,50,82500
6,13,1309,2,674,130051,1,2170,1,1,2018,2,,,2,,,300,110,,1,,5.1399998664856,270000
6,13,1309,2,674,130051,1,3040,1,9,2018,2,,,2,,,350,1,,,2,1,227500
6,13,1309,2,674,130052,1,3040,1,11,2018,2,,,2,,,5,130,,11,2,50,50000
6,13,1309,2,674,130052,2,3040,1,12,2018,2,,,2,,,3,130,,11,2,50,25000
6,13,1309,2,0,130053,1,2170,1,5,2018,2,,,2,,,45,110,,1,,5.1399998664856,22500
6,13,1309,2,0,130053,1,3040,1,10,2018,2,,,1,12,2018,150,1,,,2,1,90000
6,13,1309,2,674,130054,1,3040,1,11,2018,1,5,,2,,,9,130,,12,2,100,550000
6,13,1309,2,674,130055,1,2170,1,1,2018,2,,,2,,,400,110,,1,,5.1399998664856,600000
6,13,1309,2,674,130055,1,3040,1,5,2018,2,,,2,,,300,1,,,2,1,180000
6,13,1309,2,674,130056,1,3040,1,8,2018,1,9,,2,,,15,130,,10,2,25,225000
6,13,1309,2,674,130056,1,3110,1,7,2018,1,9,,1,11,2018,20,140,,1,2,6.50299978256226,45000
6,13,1309,2,674,130056,1,3170,1,9,2018,1,9,,2,,,19,130,,10,,25,28000
6,13,1309,2,674,130057,3,2170,1,9,2018,1,2,,2,,,30,100,,1,,1.05999994277954,30000
6,13,1309,2,674,130057,3,3040,1,8,2018,1,8,,2,,,8,130,,12,2,100,480000
6,13,1309,1,0,130059,1,2170,2,,,,,,,,,,,,,,,
6,13,1309,1,0,130059,1,3040,1,9,2018,2,,,2,,,3,130,,11,2,50,97500
6,13,1309,2,674,130060,1,2170,1,10,2018,1,1,,1,12,2018,30,110,,1,,5.1399998664856,25000
6,13,1309,2,674,130060,1,3040,1,11,2018,2,,,2,,,3,130,,11,2,50,25000
6,13,1309,2,674,130060,1,3110,2,,,,,,,,,,,,,,,
6,13,1309,2,674,130060,1,3170,1,10,2018,2,,,2,,,12,140,,1,,9.58500003814697,10000
6,13,1303,1,80,139020,1,2170,1,1,2018,2,,,2,,,20,110,,1,,5.1399998664856,8000
6,13,1303,1,80,139021,2,2160,2,,,,,,,,,,,,,,,
6,13,1303,1,80,139021,2,3020,2,,,,,,,,,,,,,,,
6,13,1306,1,342,139038,3,3040,1,11,2018,1,2,,2,,,1,130,,11,2,50,26000
6,13,1306,1,342,139043,1,3040,1,11,2018,1,2,,2,,,3,130,,11,2,50,78000
6,13,1306,1,342,139046,1,2170,1,11,2018,2,,,2,,,35,110,,1,,5.1399998664856,21000
6,13,1306,1,342,139046,1,3040,1,10,2018,1,1,,2,,,4,130,,11,2,50,120000
6,13,1307,1,1002,139048,1,2170,2,,,,,,,,,,,,,,,
6,13,1307,1,1178,139068,1,3040,1,9,2018,1,1,,2,,,4,130,,11,2,50,100000
6,13,1308,1,842,139082,1,2170,1,11,2018,2,,,2,,,12,100,,2,,2.09999990463257,15000
6,13,1312,1,24,139098,3,2170,1,8,2018,2,,,1,12,2018,400,110,,2,,7.96500015258789,700000
6,13,1312,1,24,139102,1,3020,2,,,,,,,,,,,,,,,
6,13,1316,1,1236,139119,3,3040,1,7,2018,1,8,,1,11,2018,1,130,,12,2,100,60000
6,13,1310,1,762,139150,3,3040,1,9,2018,2,,,1,12,2018,100,1,,,2,1,55000
6,13,1310,1,762,139152,2,2170,1,12,2018,2,,,2,,,6,100,,2,,2.09999990463257,4000
6,13,1310,1,762,139153,2,3040,1,8,2018,2,,,1,11,2018,1,130,,10,2,25,15000
4,14,1401,2,1116,140004,2,3180,1,1,2019,2,,,2,,,10,100,,2,,27,10000
4,14,1401,2,1116,140010,1,2170,1,7,2018,2,,,1,12,2018,3,110,,1,,5.1399998664856,4500
4,14,1408,2,1996,140026,1,2030,1,10,2018,2,,,1,11,2018,15,110,,1,,7.1399998664856,35000
4,14,1408,2,1996,140026,2,2030,1,12,2018,2,,,1,12,2018,6,110,,1,,7.1399998664856,15000
4,14,1408,2,1996,140026,2,3190,1,12,2018,1,5,,1,12,2018,3,150,,1,,,6000
4,14,1408,2,1996,140027,1,3110,2,,,,,,,,,,,,,,,
4,14,1406,2,694,140065,2,2170,1,1,2019,2,,,2,,,4,110,,1,,5.1399998664856,6000
4,14,1406,2,694,140065,4,2170,2,,,,,,,,,,,,,,,
4,14,1406,2,694,140065,4,3180,1,1,2019,2,,,2,,,4,100,,1,,25,1500
4,14,1406,2,694,140066,1,2170,2,,,,,,,,,,,,,,,
4,14,1406,2,694,140067,1,2170,2,,,,,,,,,,,,,,,
4,14,1406,2,694,140067,2,3180,1,11,2018,2,,,2,,,10,100,,2,,27,15000
4,14,1410,2,236,140084,4,3180,2,,,,,,,,,,,,,,,
4,14,1416,2,2314,140121,1,3180,1,1,2019,2,,,2,,,10,11,,,,,3000
4,14,1416,2,2314,140122,1,3180,1,12,2018,2,,,2,,,4,130,,10,,25,6500
4,14,1416,2,2314,140126,2,2170,2,,,,,,,,,,,,,,,
4,14,1416,2,2314,140126,2,3180,1,1,2019,2,,,2,,,5,11,,,,,1500
4,14,1416,2,2314,140129,1,3180,1,7,2018,2,,,2,,,10,130,,10,,25,25000
4,14,1401,2,386,149011,1,2030,2,,,,,,,,,,,,,,,
4,14,1401,2,386,149011,1,2170,2,,,,,,,,,,,,,,,
4,14,1401,2,386,149011,1,3160,2,,,,,,,,,,,,,,,
4,14,1401,2,386,149012,1,2170,2,,,,,,,,,,,,,,,
4,14,1401,2,386,149012,1,3190,2,,,,,,,,,,,,,,,
4,14,1401,2,746,149013,3,3180,1,1,2019,2,,,2,,,5,100,,1,,25,1800
4,14,1401,2,746,149017,2,3180,2,,,,,,,,,,,,,,,
4,14,1401,2,746,149017,4,3180,2,,,,,,,,,,,,,,,
4,14,1401,2,746,149022,1,3180,1,1,2019,2,,,1,1,2019,35,100,,2,,27,27500
4,14,1401,2,746,149023,3,3180,1,12,2018,2,,,2,,,25,100,,2,,27,10000
4,14,1402,2,1686,149033,1,2160,2,,,,,,,,,,,,,,,
4,14,1405,1,846,149076,1,3180,1,8,2018,1,10,,2,,,20,100,,0,,23,6000
4,14,1406,2,1002,149090,2,2170,1,12,2018,2,,,2,,,5,110,,2,,7.96500015258789,10000
4,14,1406,2,1002,149091,1,2170,2,,,,,,,,,,,,,,,
4,14,1406,2,1002,149091,1,3050,2,,,,,,,,,,,,,,,
4,14,1406,2,1002,149096,2,2170,1,10,2018,2,,,1,11,2018,8,110,,1,,5.1399998664856,8000
4,14,1406,2,1002,149096,3,2170,1,8,2018,2,,,2,,,7,110,,1,,5.1399998664856,10500
4,14,1411,2,1414,149110,1,3180,1,1,2019,2,,,2,,,5,100,,1,,25,1500
4,14,1417,2,36,149143,6,2170,1,12,2018,2,,,1,1,2019,5,110,,2,,7.96500015258789,6000
4,16,1626,2,1546,160008,1,2170,1,2,2018,2,,,2,,,6,110,,2,,7.96500015258789,6000
4,16,1620,2,0,160010,3,2170,2,,,,,,,,,,,,,,,
4,16,1622,1,136,160017,1,2170,1,5,2018,2,,,2,,,3,100,,2,,2.09999990463257,4500
4,16,1622,1,136,160017,1,3050,1,2,2018,2,,,2,,,15,80,,0,,0.310000002384186,1500
4,16,1622,1,136,160017,1,3160,2,,,,,,,,,,,,,,,
4,16,1622,1,136,160017,1,3170,1,11,2018,2,,,1,12,2018,3,130,,10,,25,2100
4,16,1622,1,136,160017,1,3180,1,3,2018,2,,,2,,,12,100,,1,,25,1200
4,16,1622,1,136,160017,2,3180,2,,,,,,,,,,,,,,,
4,16,1622,1,136,160017,2,3220,1,5,2018,2,,,1,6,2018,1,140,,0,,,300
4,16,1622,1,136,160017,4,2170,1,5,2018,2,,,2,,,2,100,,2,,2.09999990463257,1500
4,16,1622,1,136,160018,1,3180,1,5,2018,2,,,2,,,5,100,,1,,25,1000
4,16,1622,1,136,160018,2,3180,1,9,2018,2,,,2,,,4,100,,1,,25,800
4,16,1622,1,136,160019,1,3210,1,1,2018,2,,,2,,,20,80,,2,,2.63000011444092,2000
4,16,1622,1,136,160019,2,3180,1,1,2018,2,,,2,,,18,100,,1,,25,3000
4,16,1622,1,136,160019,3,2170,1,1,2018,2,,,2,,,4,100,,2,,2.09999990463257,6000
4,16,1622,1,136,160019,3,3220,2,,,,,,,,,,,,,,,
4,16,1622,1,136,160024,1,3180,1,7,2018,2,,,2,,,8,100,,0,,23,1600
4,16,1613,2,440,160051,1,2030,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160051,1,2160,1,8,2018,2,,,2,,,3,80,,1,,2.73499989509583,500
4,16,1613,2,440,160051,1,3050,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160051,1,3170,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160051,1,3180,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160051,1,3200,1,4,2018,2,,,1,6,2018,6,11,,,,,9000
4,16,1613,2,440,160055,1,2170,1,8,2018,2,,,2,,,5,110,,1,,5.1399998664856,3500
4,16,1613,2,440,160055,3,3180,1,3,2018,2,,,2,,,12,100,,0,,23,2200
4,16,1613,2,440,160056,1,3050,1,9,2018,2,,,1,10,2018,4,80,,1,,0.5,200
4,16,1613,2,440,160056,2,2030,1,11,2018,2,,,1,11,2018,2,110,,1,,7.1399998664856,1400
4,16,1613,2,440,160056,2,3050,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160057,1,2030,1,10,2018,2,,,2,,,2,110,,2,,21.6200008392334,5000
4,16,1613,2,440,160057,1,2170,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160057,1,3110,1,2,2018,2,,,1,4,2018,1,140,,0,1,3.08500003814697,1000
4,16,1613,2,440,160057,1,3210,1,12,2018,1,5,,2,,,15,80,,1,,1.61500000953674,1000
4,16,1613,2,440,160058,1,3110,1,7,2018,2,,,1,9,2018,1,140,,1,1,6.50299978256226,6000
4,16,1613,2,440,160058,2,3180,1,8,2018,2,,,2,,,15,100,,1,,25,3000
4,16,1613,2,440,160058,2,3200,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160058,3,2030,1,7,2018,2,,,2,,,3,110,,1,,7.1399998664856,3500
4,16,1613,2,440,160058,3,2170,1,9,2018,2,,,1,11,2018,2,110,,1,,5.1399998664856,3900
4,16,1613,2,440,160058,3,3050,1,8,2018,2,,,2,,,12,80,,1,,0.5,900
4,16,1613,2,440,160058,3,3090,1,7,2018,2,,,1,11,2018,1,90,,0,,,300
4,16,1613,2,440,160058,3,3170,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160058,3,3180,2,,,,,,,,,,,,,,,
4,16,1613,2,440,160058,3,3210,1,7,2018,2,,,1,12,2018,10,80,,1,,1.61500000953674,700
4,16,1613,2,440,160059,1,2030,1,3,2018,2,,,1,8,2018,4,110,,0,,5.07000017166138,2500
4,16,1613,2,440,160060,1,2030,1,8,2018,2,,,2,,,4,110,,1,,7.1399998664856,2300
4,16,1605,2,180,160144,2,2170,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,2,3180,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,3,2170,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,3,3180,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,4,3180,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,4,3220,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,5,2170,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160144,5,3180,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160146,1,2170,1,10,2018,2,,,1,1,2019,3,110,,1,,5.1399998664856,2500
4,16,1605,2,180,160146,1,3180,1,8,2018,2,,,1,12,2018,3,100,,1,,25,2000
4,16,1605,2,180,160146,2,2170,1,9,2018,2,,,1,12,2018,5,110,,1,,5.1399998664856,5000
4,16,1605,2,180,160147,3,3180,2,,,,,,,,,,,,,,,
4,16,1605,2,180,160150,1,2170,1,8,2018,2,,,2,,,2,110,,1,,5.1399998664856,1800
4,16,1605,2,180,160150,1,3180,1,1,2018,2,,,1,12,2018,20,100,,1,,25,12000
4,16,1605,2,180,160150,7,2030,1,11,2018,2,,,2,,,2,110,,1,,7.1399998664856,2500
4,16,1605,2,180,160150,7,2170,1,9,2018,2,,,2,,,1,110,,1,,5.1399998664856,1000
4,16,1605,2,180,160151,7,2030,1,2,2018,1,11,"WIND",2,,,8,110,,1,,7.1399998664856,6400
4,16,1605,2,180,160151,7,3220,1,5,2018,2,,,2,,,3,140,,1,,,1500
4,16,1605,2,180,160153,1,2030,1,1,2019,2,,,2,,,1,110,,1,,7.1399998664856,800
4,16,1605,2,180,160153,3,2030,1,1,2019,2,,,2,,,1,110,,1,,7.1399998664856,800
4,16,1605,2,180,160153,3,2170,1,12,2018,2,,,2,,,1,100,,1,,1.05999994277954,1450
4,16,1605,2,180,160153,3,3180,1,11,2018,2,,,2,,,2,100,,1,,25,2700
4,16,1601,2,2484,169001,1,3180,1,8,2018,2,,,2,,,2,100,,1,,25,500
4,16,1601,2,2484,169002,1,3180,1,7,2018,2,,,2,,,2,100,,1,,25,500
4,16,1601,2,2484,169002,2,2170,1,6,2018,2,,,2,,,1,100,,2,,2.09999990463257,2000
4,16,1601,2,2484,169003,2,3180,1,6,2018,2,,,2,,,2,100,,1,,25,500
4,16,1602,2,234,169014,1,3180,1,12,2018,2,,,2,,,9,100,,1,,25,9000
4,16,1602,2,234,169014,2,3180,1,12,2018,2,,,2,,,20,100,,1,,25,20000
4,16,1602,2,234,169016,1,3180,2,,,,,,,,,,,,,,,
4,16,1602,2,234,169018,2,3180,1,10,2018,2,,,1,10,2018,3,100,,1,,25,2000
4,16,1602,2,234,169021,2,3180,1,1,2018,2,,,2,,,14,100,,2,,27,10000
4,16,1602,2,234,169022,1,2030,2,,,,,,,,,,,,,,,
4,16,1602,2,234,169022,1,2160,1,12,2018,2,,,2,,,5,80,,1,,2.73499989509583,1750
4,16,1602,2,234,169022,1,2170,1,5,2018,2,,,2,,,8,110,,2,,7.96500015258789,9600
4,16,1602,2,234,169022,2,3050,1,1,2019,2,,,2,,,20,80,,1,,0.5,2400
4,16,1602,2,234,169022,2,3110,1,10,2018,2,,,2,,,3,10,,,1,,1500
4,16,1602,2,234,169022,2,3180,1,2,2018,2,,,2,,,55,100,,1,,25,24750
4,16,1602,2,234,169022,2,3220,1,7,2018,2,,,1,8,2018,4,140,,1,,,10000
4,16,1602,2,234,169022,3,3180,1,3,2018,2,,,2,,,48,100,,1,,25,19200
4,16,1602,2,234,169024,1,3180,1,3,2018,2,,,2,,,20,100,,1,,25,7000
4,16,1602,2,234,169024,4,2030,1,6,2018,2,,,2,,,6,110,,1,,7.1399998664856,4800
4,16,1602,2,234,169024,4,2170,1,8,2018,2,,,2,,,4,110,,2,,7.96500015258789,4000
4,16,1607,2,574,169027,1,2170,1,5,2018,1,2,,2,,,2,100,,2,,2.09999990463257,3000
4,16,1607,2,574,169027,2,3180,1,4,2018,2,,,2,,,3,100,,1,,25,600
4,16,1607,2,574,169028,1,3180,1,11,2018,2,,,2,,,4,100,,2,,27,1000
4,16,1607,2,574,169028,2,2170,1,10,2018,2,,,2,,,1,100,,2,,2.09999990463257,1500
4,16,1607,2,574,169028,2,3180,1,10,2018,2,,,2,,,8,100,,2,,27,2000
4,16,1607,2,574,169030,1,2170,1,11,2018,2,,,2,,,1,110,,1,,5.1399998664856,900
4,16,1607,2,574,169030,2,3180,1,9,2018,2,,,2,,,4,100,,1,,25,2000
4,16,1607,2,574,169030,3,2170,1,8,2018,2,,,2,,,2,110,,1,,5.1399998664856,1500
4,16,1607,2,574,169033,1,2030,1,10,2018,2,,,2,,,3,110,,1,,7.1399998664856,2200
4,16,1607,2,574,169033,1,2160,1,12,2018,2,,,1,12,2018,3,80,,1,,2.73499989509583,1200
4,16,1607,2,574,169033,1,2170,1,11,2018,2,,,2,,,5,110,,2,,7.96500015258789,4000
4,16,1607,2,574,169033,1,3180,1,10,2018,2,,,2,,,7,100,,1,,25,3000
4,16,1607,2,574,169033,2,2170,2,,,,,,,,,,,,,,,
4,16,1607,2,574,169033,2,3180,1,11,2018,2,,,2,,,6,100,,1,,25,2600
4,16,1607,2,574,169033,3,3180,1,12,2018,2,,,1,12,2018,8,100,,1,,25,3200
4,16,1607,2,574,169035,4,3180,1,1,2019,2,,,2,,,2,100,,0,,23,600
4,16,1608,2,1480,169038,2,3180,1,8,2018,2,,,2,,,3,100,,1,,25,900
4,16,1608,2,1480,169040,1,2170,1,7,2018,1,2,,2,,,2,100,,2,,2.09999990463257,3000
4,16,1610,2,66,169050,5,2170,1,11,2018,2,,,2,,,3,100,,2,,2.09999990463257,4500
4,16,1610,2,66,169051,1,2030,1,8,2018,2,,,2,,,8,110,,1,,7.1399998664856,8500
4,16,1610,2,66,169051,1,2170,1,9,2018,2,,,2,,,5,110,,1,,5.1399998664856,4500
4,16,1610,2,66,169056,1,2030,1,11,2018,2,,,2,,,6,110,,1,,7.1399998664856,3000
4,16,1610,2,66,169056,1,2160,1,11,2018,2,,,2,,,4,170,,,,,6000
4,16,1610,2,66,169056,1,2170,1,8,2018,2,,,2,,,30,110,,1,,5.1399998664856,45000
4,16,1610,2,66,169056,1,3090,1,7,2018,2,,,1,7,2018,1,150,,0,,,1000
4,16,1610,2,66,169056,1,3170,1,8,2018,2,,,1,9,2018,1,130,,11,,50,4000
4,16,1610,2,66,169056,1,3210,1,7,2018,2,,,2,,,25,80,,1,,1.61500000953674,1500
4,16,1610,2,66,169056,1,3220,2,,,,,,,,,,,,,,,
4,16,1610,2,66,169056,2,2160,2,,,,,,,,,,,,,,,
4,16,1610,2,66,169056,2,2170,2,,,,,,,,,,,,,,,
4,16,1610,2,66,169056,2,3170,2,,,,,,,,,,,,,,,
4,16,1610,2,66,169056,2,3180,1,1,2018,2,,,2,,,10,11,,,,,20000
4,16,1610,2,66,169057,1,3160,2,,,,,,,,,,,,,,,
4,16,1610,2,66,169057,2,3180,2,,,,,,,,,,,,,,,
4,16,1610,2,66,169058,5,2030,1,9,2018,2,,,2,,,5,110,,1,,7.1399998664856,4500
4,16,1610,2,66,169058,5,2170,1,12,2018,2,,,2,,,5,110,,1,,5.1399998664856,8500
4,16,1610,2,66,169059,1,3050,1,11,2018,2,,,2,,,20,80,,1,,0.5,2000
4,16,1610,2,490,169061,2,3180,1,7,2018,2,,,2,,,25,100,,1,,25,4000
4,16,1610,2,490,169065,3,3180,1,3,2018,2,,,1,11,2018,13,100,,1,,25,10000
4,16,1610,2,490,169071,1,3180,2,,,,,,,,,,,,,,,
4,16,1610,2,490,169071,3,3180,1,6,2018,2,,,2,,,8,100,,1,,25,1400
4,16,1610,2,490,169072,1,3180,1,9,2018,2,,,2,,,4,100,,1,,25,800
4,16,1610,2,490,169072,3,3180,1,9,2018,2,,,2,,,3,100,,1,,25,600
4,16,1610,2,776,169075,1,2170,1,5,2018,2,,,2,,,8,110,,2,,7.96500015258789,12000
4,16,1610,2,776,169075,1,3210,1,4,2018,1,8,,2,,,15,80,,0,,1.12000000476837,1500
4,16,1610,2,776,169076,1,3180,1,4,2018,2,,,1,12,2018,9,100,,1,,25,6000
4,16,1610,2,776,169076,2,2170,1,12,2018,1,7,,1,12,2018,14,110,,2,,7.96500015258789,13000
4,16,1610,2,776,169076,2,3220,2,,,,,,,,,,,,,,,
4,16,1610,2,776,169076,3,2170,1,8,2018,1,7,,1,11,2018,10,110,,1,,5.1399998664856,8000
4,16,1610,2,776,169076,3,3220,2,,,,,,,,,,,,,,,
4,16,1610,2,776,169076,4,2170,1,9,2018,1,7,,2,,,5,110,,2,,7.96500015258789,8000
4,16,1610,2,776,169076,4,3050,1,5,2018,2,,,2,,,20,80,,1,,0.5,3000
4,16,1610,2,776,169076,4,3170,1,9,2018,1,8,,1,11,2018,1,130,,11,,50,7000
4,16,1610,2,776,169076,4,3180,1,8,2018,1,6,,1,10,2018,13,100,,1,,25,9000
4,16,1610,2,776,169076,4,3220,2,,,,,,,,,,,,,,,
4,16,1610,2,776,169076,8,3180,1,10,2018,1,6,,1,12,2018,10,100,,1,,25,10000
4,16,1610,2,776,169077,3,3180,1,9,2018,1,6,,1,11,2018,15,100,,1,,25,8000
4,16,1610,2,776,169080,1,2030,1,2,2018,2,,,2,,,8,110,,1,,7.1399998664856,5000
4,16,1610,2,776,169080,1,2170,1,6,2018,2,,,2,,,15,110,,1,,5.1399998664856,12000
4,16,1611,2,1878,169089,1,3210,1,7,2018,1,6,,1,12,2018,10,80,,1,,1.61500000953674,1800
4,16,1611,2,1878,169089,4,3180,2,,,,,,,,,,,,,,,
4,16,1611,2,1878,169092,1,2170,1,9,2018,1,2,,1,12,2018,4,110,,1,,5.1399998664856,3500
4,16,1611,2,1878,169092,2,2170,1,10,2018,2,,,1,11,2018,3,110,,1,,5.1399998664856,2600
4,16,1611,2,1878,169092,2,3050,2,,,,,,,,,,,,,,,
4,16,1611,2,1878,169095,1,3180,2,,,,,,,,,,,,,,,
4,16,1611,2,1878,169096,1,3180,1,3,2018,2,,,2,,,25,100,,1,,25,8750
4,16,1615,2,220,169099,3,3180,1,8,2018,2,,,2,,,7,100,,1,,25,4000
4,16,1615,2,220,169099,4,3180,1,11,2018,1,6,,1,11,2018,3,100,,1,,25,2000
4,16,1615,2,220,169099,5,3180,1,11,2018,2,,,1,11,2018,2,100,,1,,25,1500
4,16,1615,2,220,169103,3,3180,1,2,2018,2,,,2,,,20,100,,2,,27,8000
4,16,1615,2,220,169103,4,3180,1,2,2018,2,,,2,,,25,100,,2,,27,10000
4,16,1615,2,220,169105,2,3180,1,4,2018,1,10,,2,,,8,100,,1,,25,6000
4,16,1615,2,220,169106,1,3180,2,,,,,,,,,,,,,,,
4,16,1615,2,220,169107,1,3180,2,,,,,,,,,,,,,,,
4,16,1615,2,220,169107,2,2170,2,,,,,,,,,,,,,,,
4,16,1616,2,902,169111,1,3180,2,,,,,,,,,,,,,,,
4,16,1616,2,902,169113,5,3180,1,10,2018,2,,,2,,,5,100,,1,,25,1800
4,16,1616,2,902,169116,1,2030,1,8,2018,2,,,2,,,5,110,,1,,7.1399998664856,3600
4,16,1616,2,902,169116,4,2170,1,8,2018,2,,,2,,,3,110,,1,,5.1399998664856,2900
4,16,1616,2,902,169116,6,3180,1,3,2018,2,,,2,,,8,100,,1,,25,2500
4,16,1616,2,902,169117,1,3180,2,,,,,,,,,,,,,,,
4,16,1616,2,902,169117,2,2170,1,8,2018,2,,,2,,,2,100,,1,,1.05999994277954,1500
4,16,1616,2,902,169117,2,3180,1,4,2018,2,,,2,,,4,100,,1,,25,800
4,16,1616,2,902,169119,1,3180,2,,,,,,,,,,,,,,,
4,16,1616,2,902,169119,2,3180,1,6,2018,2,,,2,,,1,100,,1,,25,200
4,16,1616,2,902,169119,3,3180,1,8,2018,2,,,2,,,1,100,,1,,25,200
4,16,1627,2,126,169121,7,3180,1,12,2018,2,,,1,12,2018,10,100,,1,,25,8000
4,16,1627,2,126,169122,2,3180,2,,,,,,,,,,,,,,,
4,16,1627,2,126,169125,1,3090,1,7,2018,1,6,,1,9,2018,3,11,,,,,3000
